Vendor Name,Number of Items,Total Price ($),Discount ($),Tax ($)
Home Depot,18,461.09,62.76,33.44
Costco,20,442.0,105.39,27.7
Lowe's,11,131.47,20.59,7.65
Costco,7,435.62,45.18,52.21
Starbucks,10,159.55,41.16,8.93
Target,8,27.03,7.58,1.11
Lowe's,16,363.68,5.18,46.93
Lowe's,15,222.85,5.72,16.09
Ross,14,442.71,28.35,46.11
Home Depot,18,378.64,94.21,15.34
Ross,8,247.56,9.51,32.64
Target,11,497.36,16.01,67.37
Subway,18,395.57,84.38,39.75
Best Buy,20,233.73,44.48,14.62
Walmart,4,309.36,66.07,16.36
Home Depot,8,112.94,29.81,12.45
Walmart,18,260.07,67.03,12.0
KFC,9,63.53,14.05,4.25
KFC,18,332.0,22.07,41.28
McDonalds,3,261.49,52.92,15.3
KFC,16,146.98,7.56,18.26
Best Buy,17,167.3,29.38,7.24
Ross,13,81.85,4.34,11.56
Ross,7,391.81,91.07,32.16
Burger King,7,121.48,4.82,8.56
Home Depot,12,306.21,12.18,29.36
Costco,20,417.8,65.98,30.21
Lowe's,10,11.25,0.74,1.21
KFC,16,405.57,89.72,33.04
Burger King,3,133.28,24.16,13.13
Target,10,195.13,3.46,10.32
Burger King,8,174.87,23.15,18.6
KFC,8,133.75,26.95,8.6
Target,19,272.06,59.77,13.82
Walmart,16,315.78,2.33,17.08
McDonalds,11,37.94,0.71,5.48
Home Depot,5,446.75,29.02,39.07
Target,10,92.58,9.13,12.41
Burger King,14,194.42,23.87,13.03
Best Buy,15,380.75,64.51,19.69
Home Depot,6,6.54,0.27,0.86
Best Buy,5,44.43,3.16,5.48
Ross,8,473.25,135.81,47.12
Burger King,18,88.32,2.08,12.31
Subway,4,312.15,42.84,17.51
Subway,2,129.97,31.42,12.15
Walmart,2,250.69,26.95,26.21
Lowe's,8,256.18,12.47,30.54
Target,9,402.65,114.08,14.86
Best Buy,10,277.47,81.35,24.96
Subway,18,134.91,27.8,10.24
Burger King,4,204.87,30.48,9.08
Burger King,2,130.69,26.68,12.51
Starbucks,7,382.49,59.24,28.64
Starbucks,7,62.42,18.38,5.75
McDonalds,19,338.56,54.11,39.13
Ross,5,168.68,37.82,6.66
Walmart,19,82.3,8.51,5.84
Starbucks,11,249.96,30.27,20.45
Ross,1,395.23,67.42,30.88
Target,1,474.56,68.4,58.76
KFC,9,374.9,21.11,37.11
Home Depot,9,475.15,24.78,30.17
KFC,6,291.95,82.47,23.72
Best Buy,20,195.43,25.48,13.79
Walmart,14,390.37,96.0,22.97
Starbucks,18,266.0,25.37,20.27
Burger King,14,396.8,100.56,37.03
Ross,19,195.15,27.17,9.01
Home Depot,20,400.25,91.29,43.25
Target,17,490.87,23.34,32.47
Target,16,14.48,3.19,1.21
McDonalds,9,96.65,21.98,6.87
Subway,15,122.18,26.16,13.09
Burger King,4,479.21,23.65,64.85
Home Depot,13,470.49,35.67,60.08
Target,20,167.24,15.4,15.07
Starbucks,7,382.36,44.35,43.11
KFC,13,350.06,86.38,28.55
Target,19,67.77,14.44,4.42
Walmart,13,239.49,37.48,10.94
Subway,12,183.71,3.82,21.9
KFC,18,238.2,22.48,28.94
Walmart,11,199.36,7.49,28.64
KFC,9,206.18,8.79,12.78
Starbucks,17,34.62,1.3,2.11
Lowe's,2,366.26,57.09,40.92
Burger King,13,475.09,49.13,46.25
Costco,3,282.1,68.83,14.96
Starbucks,11,351.7,26.79,24.67
Lowe's,5,379.55,51.11,21.44
KFC,19,92.6,14.23,10.94
Target,3,100.48,23.84,8.51
Lowe's,17,83.9,8.4,8.72
Lowe's,18,33.3,0.82,3.31
Walmart,3,56.47,10.29,4.94
Target,13,258.64,76.6,24.78
Costco,5,161.86,1.1,19.83
Walmart,11,443.54,25.73,38.18
Walmart,10,399.4,109.24,31.93
Burger King,6,182.15,45.64,7.88
Walmart,15,180.72,48.89,16.56
KFC,10,283.55,68.37,19.63
Walmart,15,402.19,22.98,33.66
Target,4,66.07,6.95,4.0
Subway,1,164.79,39.09,15.66
Burger King,16,240.88,62.0,18.53
Home Depot,9,18.76,2.9,2.12
Costco,11,182.48,5.39,26.0
Ross,17,314.64,27.1,15.44
Home Depot,11,82.65,13.59,4.47
Ross,6,321.86,23.42,41.15
Subway,11,473.07,68.54,56.14
KFC,13,26.86,1.94,1.95
Ross,8,179.28,8.8,15.7
Target,19,73.31,12.42,3.13
Subway,1,345.04,74.37,18.19
Ross,1,17.46,1.69,0.79
Walmart,4,288.64,12.79,18.02
Home Depot,1,212.27,36.17,20.89
Burger King,8,461.66,50.42,29.47
Home Depot,3,69.25,11.76,4.89
Costco,14,448.37,33.04,36.62
Home Depot,8,324.41,38.64,30.9
Starbucks,9,443.09,49.42,20.54
Subway,16,438.99,36.39,44.73
Home Depot,4,269.56,68.95,12.92
Home Depot,1,385.03,84.44,44.38
Home Depot,4,358.03,64.89,19.39
Target,16,208.49,36.92,25.67
Starbucks,17,60.7,6.71,3.47
Target,16,316.98,71.65,17.07
Starbucks,6,363.11,35.37,28.84
Walmart,10,277.96,2.91,25.04
Home Depot,7,176.7,7.01,18.89
Ross,1,218.14,26.07,11.07
Burger King,3,390.01,63.76,34.38
Ross,5,107.69,7.37,10.29
Lowe's,12,450.43,84.23,28.86
Target,4,402.27,110.32,39.07
Starbucks,6,174.52,26.26,12.33
Burger King,5,456.52,134.84,40.01
Starbucks,8,440.84,131.28,26.21
Lowe's,17,156.55,19.26,12.44
Costco,5,78.08,13.67,7.3
Best Buy,4,349.94,67.96,19.88
KFC,20,490.95,16.38,56.4
Subway,6,191.05,45.47,7.43
Target,16,162.59,32.97,11.27
Burger King,9,334.94,81.6,18.46
Ross,18,278.06,74.63,26.05
Best Buy,6,17.76,3.43,0.96
Best Buy,14,306.09,19.11,34.67
Home Depot,9,15.48,0.62,1.32
Lowe's,19,31.56,3.55,3.65
KFC,19,205.57,14.38,26.26
Walmart,16,311.9,25.14,28.89
Best Buy,13,238.98,12.98,23.53
Ross,10,426.83,106.49,20.62
Costco,3,241.67,41.04,18.26
Costco,9,243.73,59.55,14.67
Target,4,73.62,19.08,7.22
Ross,19,281.57,0.6,38.27
Best Buy,20,247.72,51.31,28.11
Best Buy,12,437.98,45.07,23.48
Walmart,8,117.19,29.48,7.12
McDonalds,1,250.34,71.11,18.08
Target,3,43.36,7.46,2.61
Target,13,431.06,18.81,32.48
McDonalds,16,331.7,77.77,19.88
Subway,5,416.42,14.92,34.33
Lowe's,8,329.81,37.0,41.46
Home Depot,9,182.81,21.99,20.36
Starbucks,4,242.47,21.19,20.93
Target,8,372.94,104.01,22.54
McDonalds,4,342.15,100.11,23.35
Lowe's,19,415.11,27.48,34.86
Starbucks,16,120.16,18.67,5.09
Lowe's,11,200.16,57.03,18.9
Home Depot,2,289.81,3.52,16.99
McDonalds,11,93.39,5.07,10.59
Walmart,8,476.68,1.16,49.2
Ross,4,411.65,74.82,47.58
Costco,15,102.86,0.05,14.36
Home Depot,3,270.78,75.22,14.22
Home Depot,13,239.97,0.03,17.04
Walmart,20,477.5,4.09,40.1
Target,11,340.2,65.39,30.12
Costco,9,472.87,101.41,28.71
Burger King,5,312.3,61.73,22.02
Subway,11,104.82,15.97,5.51
Costco,16,66.65,17.86,4.73
Lowe's,18,173.21,21.63,13.3
Subway,17,171.12,42.2,9.46
McDonalds,12,242.87,68.13,9.15
Burger King,1,278.47,80.08,25.3
McDonalds,14,124.32,17.8,6.83
Lowe's,10,183.19,26.72,22.4
Ross,17,343.83,19.35,46.49
KFC,4,473.37,22.03,24.22
Subway,6,384.05,53.99,38.87
Home Depot,16,100.07,11.74,11.37
Target,17,97.88,9.63,8.99
Best Buy,20,293.43,13.39,33.29
Lowe's,19,464.76,83.39,20.32
Lowe's,20,422.55,70.46,24.52
Walmart,2,71.41,9.5,7.27
McDonalds,4,431.66,98.06,30.88
KFC,10,443.28,44.97,47.22
Ross,12,280.9,30.05,23.53
Lowe's,11,423.77,59.57,23.55
Costco,5,477.15,56.41,40.55
Best Buy,7,446.6,94.35,18.36
McDonalds,3,427.68,75.12,48.44
Home Depot,18,109.18,0.14,16.31
Ross,17,323.27,47.49,24.27
Best Buy,3,43.75,12.73,3.08
Walmart,7,212.57,48.29,13.34
Burger King,1,384.84,27.61,52.44
Walmart,19,432.48,66.51,23.91
Starbucks,4,298.79,24.96,36.65
McDonalds,13,195.11,29.67,13.89
Subway,9,468.12,6.18,37.67
Subway,19,245.09,70.23,17.96
Home Depot,11,195.84,51.24,8.92
Subway,5,382.01,101.44,17.36
Home Depot,8,20.74,1.69,1.68
Target,10,190.0,45.78,9.94
Best Buy,18,34.5,5.33,1.5
Lowe's,1,320.39,24.78,18.85
Costco,20,282.81,81.05,25.38
Starbucks,19,56.57,1.27,8.29
Ross,16,22.16,5.59,1.2
Costco,18,418.99,27.27,26.53
KFC,8,202.52,36.99,20.61
Target,6,138.24,40.35,8.31
Best Buy,7,111.95,27.82,12.48
Starbucks,18,333.9,77.09,14.98
Target,10,436.75,102.47,27.52
Costco,20,11.99,2.89,0.61
Starbucks,7,258.79,26.89,22.01
Home Depot,17,268.29,32.93,13.66
Lowe's,11,91.2,6.59,7.93
Burger King,10,20.52,5.14,1.75
Starbucks,3,436.08,86.5,28.56
Best Buy,10,28.97,6.16,3.08
Burger King,17,74.31,13.31,7.84
Home Depot,9,293.3,22.3,22.03
Best Buy,16,445.25,94.61,32.39
Ross,17,30.39,6.44,2.34
Walmart,8,45.15,1.33,2.99
Ross,15,12.52,2.83,0.99
Costco,17,127.03,10.73,10.52
Lowe's,2,86.29,22.96,6.49
McDonalds,8,79.82,19.13,7.82
Ross,18,491.55,80.25,28.02
Burger King,14,463.0,97.96,23.98
Best Buy,5,441.13,76.94,24.33
McDonalds,17,493.87,44.36,61.48
Burger King,1,362.36,85.88,37.25
Walmart,14,88.07,13.36,5.32
Best Buy,17,249.13,9.47,14.04
Walmart,3,10.22,2.29,0.59
Home Depot,15,338.68,100.05,35.15
KFC,13,132.84,3.05,16.38
Subway,8,371.68,95.67,34.82
Walmart,17,405.51,84.32,24.06
Burger King,5,301.91,79.72,17.53
Subway,5,178.84,19.21,21.23
Starbucks,17,322.62,24.54,15.57
Burger King,7,306.24,31.18,22.04
Ross,16,410.27,115.4,35.41
Target,12,427.32,77.31,31.36
Home Depot,17,152.46,37.27,12.26
McDonalds,7,218.51,17.38,13.42
Ross,20,261.1,70.5,24.35
Best Buy,16,458.95,35.66,33.93
KFC,17,30.82,6.75,3.53
Lowe's,3,14.05,2.52,1.56
Walmart,7,470.08,26.09,29.91
KFC,12,306.65,24.62,33.12
KFC,1,15.22,4.18,0.74
Starbucks,8,199.56,29.92,14.64
Target,3,293.13,68.77,26.91
Ross,1,298.97,24.44,34.0
Home Depot,7,163.04,38.92,12.37
Ross,20,297.75,36.42,29.46
McDonalds,1,31.81,8.56,1.24
KFC,5,253.72,31.92,18.45
KFC,20,98.59,1.82,14.24
Target,9,245.59,35.46,29.69
Starbucks,3,232.04,52.53,25.1
Best Buy,9,281.67,34.19,23.46
KFC,6,305.7,38.44,16.74
KFC,4,294.34,9.84,19.52
Lowe's,10,344.79,10.34,42.29
Starbucks,9,393.64,75.02,32.15
Best Buy,3,9.0,1.64,1.08
Ross,4,207.01,48.68,15.54
Walmart,11,317.8,13.39,36.62
KFC,19,376.0,25.39,24.87
Walmart,2,301.55,36.13,28.14
Burger King,10,206.31,55.21,22.0
Best Buy,2,372.64,49.82,33.65
Best Buy,5,323.9,57.19,17.83
Costco,19,237.45,19.08,15.54
KFC,1,433.13,112.04,32.86
Costco,1,321.54,14.9,19.65
Best Buy,5,469.46,16.13,37.73
Burger King,11,419.59,41.57,47.29
Costco,12,107.52,14.55,10.99
Lowe's,18,265.59,6.44,24.33
Home Depot,18,242.62,31.0,12.15
McDonalds,5,323.92,80.54,24.62
Ross,3,75.87,0.78,8.59
Costco,3,264.56,44.87,18.72
KFC,16,204.05,49.88,19.18
Subway,15,258.64,18.02,24.11
Burger King,13,391.92,43.03,45.09
Walmart,8,289.31,41.25,21.53
Subway,8,275.15,42.81,14.21
Walmart,19,182.55,51.62,8.9
Starbucks,16,244.15,66.96,25.64
Walmart,8,328.9,47.11,34.53
Target,6,461.4,105.37,34.9
KFC,6,417.38,87.07,39.14
Subway,16,110.45,0.9,10.45
Subway,20,413.82,83.29,36.74
Target,19,167.24,21.57,18.49
KFC,5,258.64,30.37,19.83
Starbucks,8,109.63,31.66,8.08
Target,15,122.89,12.45,12.51
Target,8,76.24,17.38,6.18
Best Buy,20,61.8,17.09,4.38
Burger King,6,302.16,54.86,29.92
Costco,18,250.88,15.83,20.91
Best Buy,7,180.2,21.99,19.47
Walmart,7,478.51,86.69,26.0
Best Buy,15,45.06,6.78,4.55
Home Depot,11,425.01,94.7,39.64
Burger King,13,31.95,8.77,3.23
Target,6,382.64,70.6,33.04
Starbucks,18,450.05,115.13,32.88
McDonalds,3,364.46,108.85,32.98
Costco,17,495.02,126.9,39.85
Target,20,497.34,134.45,26.67
Walmart,4,412.67,90.39,19.06
Subway,13,356.34,82.55,29.45
Subway,17,479.41,126.74,27.43
Ross,6,297.24,20.15,17.46
McDonalds,9,250.52,22.81,28.11
Starbucks,7,43.83,11.81,3.73
Ross,7,435.84,2.25,45.0
Lowe's,5,378.9,84.26,17.14
Burger King,20,426.92,110.98,40.81
Burger King,8,7.01,0.3,0.47
Subway,1,212.01,9.25,21.06
Best Buy,11,475.04,95.46,36.31
KFC,15,119.56,23.28,11.88
KFC,7,54.69,8.04,3.98
Subway,10,112.85,18.7,5.32
Home Depot,4,477.32,130.09,20.67
Ross,15,76.37,5.99,8.68
McDonalds,6,370.84,29.49,50.32
Home Depot,17,30.38,7.59,2.03
Burger King,13,277.04,64.18,25.81
Subway,5,329.75,30.21,28.27
Subway,14,109.02,6.65,15.25
Costco,18,204.05,31.02,16.72
KFC,6,20.98,1.47,1.16
Home Depot,14,39.48,9.81,2.11
McDonalds,7,248.43,14.27,31.83
Best Buy,5,303.88,50.16,25.87
Subway,14,302.37,78.44,31.64
KFC,16,321.82,58.2,13.94
Target,7,352.52,3.67,24.34
McDonalds,17,342.64,84.87,16.58
Lowe's,16,50.25,4.16,5.3
Home Depot,11,370.32,104.1,37.2
Starbucks,3,309.07,76.65,20.23
Subway,3,118.9,4.85,16.21
McDonalds,1,245.04,10.58,31.53
Target,5,62.3,6.01,6.66
Costco,12,452.32,114.1,23.68
Starbucks,17,350.17,68.39,34.87
Home Depot,2,75.65,1.75,8.35
Ross,17,98.07,17.72,6.83
Subway,5,438.71,56.51,47.43
Costco,6,73.95,20.32,5.56
Ross,2,152.94,21.57,7.69
Target,4,54.99,4.05,2.76
Burger King,19,47.7,11.76,4.45
Starbucks,18,397.53,19.38,42.55
KFC,19,474.33,110.94,23.98
Lowe's,8,11.51,0.5,1.21
Ross,5,424.87,103.33,35.11
Ross,3,57.27,1.64,6.25
Subway,9,291.27,86.68,24.72
Ross,15,34.01,3.4,3.48
Home Depot,1,491.99,96.37,28.18
Costco,19,361.81,26.9,34.26
Lowe's,11,487.17,1.56,36.44
Subway,17,276.12,10.7,22.08
Subway,18,494.18,136.99,28.51
Lowe's,9,122.27,23.74,13.83
Starbucks,3,187.12,25.26,14.35
KFC,15,30.72,7.16,1.85
Subway,14,236.76,59.87,22.0
McDonalds,6,419.54,33.58,51.71
Burger King,9,102.93,27.18,5.79
Home Depot,5,306.3,24.64,38.69
Burger King,1,107.84,8.47,11.99
Costco,1,220.86,21.37,24.35
McDonalds,11,208.1,58.14,21.93
Costco,8,181.96,39.36,13.87
Ross,12,216.71,28.37,16.28
Costco,3,281.03,38.18,14.48
Best Buy,13,329.02,23.44,34.75
Costco,14,33.36,8.42,2.75
Starbucks,9,265.79,44.49,26.06
Walmart,5,5.75,0.59,0.43
McDonalds,8,190.37,38.23,14.62
Best Buy,6,469.08,56.34,24.9
Costco,11,363.74,34.1,20.27
Starbucks,3,55.67,10.3,5.63
McDonalds,4,343.59,45.82,19.82
Starbucks,6,222.73,55.58,8.81
Home Depot,1,480.59,14.48,27.17
Home Depot,7,131.96,15.2,11.25
Subway,17,282.07,31.14,23.22
Walmart,19,213.36,60.61,11.21
Target,17,160.35,30.25,16.44
Lowe's,9,175.57,40.84,9.25
McDonalds,15,165.16,1.15,15.98
Burger King,10,339.42,2.14,20.3
Burger King,17,410.18,22.42,51.04
Burger King,20,169.23,6.75,16.11
Lowe's,15,187.03,11.08,12.39
Lowe's,5,331.55,71.52,31.03
Best Buy,13,308.65,19.25,26.86
Best Buy,16,360.13,37.03,45.71
McDonalds,20,151.11,34.66,16.16
Home Depot,15,353.46,74.39,15.75
Walmart,3,176.34,34.03,12.54
KFC,8,145.18,42.32,10.84
KFC,14,319.43,64.53,16.67
KFC,14,459.38,54.42,57.48
Subway,20,154.48,25.38,10.38
Subway,6,176.6,22.49,22.48
Starbucks,3,342.45,101.73,17.6
Walmart,20,172.73,9.49,22.71
Costco,4,92.7,16.8,5.53
Ross,1,328.83,97.43,32.82
Home Depot,14,93.86,11.17,6.71
Best Buy,2,83.9,3.97,11.16
KFC,4,239.43,52.65,23.04
Starbucks,10,198.64,34.92,12.56
Lowe's,3,34.63,6.76,3.7
McDonalds,15,318.63,52.4,18.79
Costco,14,25.02,5.96,1.13
Walmart,10,157.87,0.06,17.75
Ross,20,434.6,61.24,21.7
Ross,1,474.02,79.74,51.08
Costco,3,305.73,60.63,17.2
Costco,16,219.25,7.57,25.77
Lowe's,17,364.93,18.4,20.86
Target,14,258.17,6.25,25.36
Walmart,18,127.82,27.96,14.93
Target,17,457.88,77.16,40.81
Home Depot,10,124.88,25.98,6.45
Home Depot,12,368.92,104.3,26.61
Walmart,1,5.61,0.43,0.61
McDonalds,5,97.18,24.15,9.02
KFC,5,141.38,11.06,8.33
Walmart,6,459.16,48.39,51.22
McDonalds,4,253.33,37.62,24.42
Target,7,319.22,59.14,30.96
Target,13,385.88,110.83,35.06
Home Depot,18,181.67,34.76,10.75
Walmart,14,270.86,63.25,13.69
Starbucks,2,373.54,30.0,19.91
Target,14,8.85,1.8,0.51
Burger King,6,130.43,36.26,12.46
KFC,4,89.62,5.36,8.99
Subway,3,206.97,50.51,18.44
Starbucks,1,19.87,3.62,1.35
Home Depot,8,293.61,72.09,31.34
Walmart,18,377.78,100.96,26.41
Best Buy,15,298.61,86.16,31.1
Target,12,62.93,14.95,4.41
Ross,16,435.37,29.79,47.89
KFC,13,383.28,1.7,52.22
McDonalds,20,375.45,46.56,29.35
Ross,14,193.73,25.85,24.52
Burger King,7,130.09,27.36,6.76
Subway,1,153.9,45.64,7.41
Ross,9,92.3,7.11,11.95
Home Depot,11,271.55,34.57,22.85
Starbucks,20,160.98,12.19,11.68
Subway,17,16.54,4.65,1.21
Best Buy,7,213.83,46.89,21.06
Burger King,2,482.87,60.04,24.76
Starbucks,1,19.51,3.97,1.38
Best Buy,12,276.9,43.52,24.64
Burger King,16,291.19,70.43,27.7
Subway,12,109.07,14.08,6.83
Ross,20,229.31,8.85,31.61
Target,15,430.76,126.92,30.04
Starbucks,16,173.86,27.38,19.05
McDonalds,2,183.58,28.13,13.89
Best Buy,20,52.62,14.12,3.87
Ross,3,467.28,27.27,23.19
Lowe's,3,288.97,4.38,32.13
Subway,5,283.76,6.89,23.72
Ross,15,456.85,5.86,27.21
Costco,20,340.19,31.27,24.97
Subway,12,94.34,0.2,11.81
Home Depot,13,318.27,8.72,41.94
Lowe's,14,336.34,89.49,15.93
McDonalds,14,315.89,18.2,17.02
Ross,15,164.32,14.36,19.65
Target,8,85.32,24.97,7.27
McDonalds,16,81.4,13.11,7.54
Burger King,11,91.23,18.09,4.85
Target,4,60.66,5.86,4.54
Target,1,98.67,19.23,9.05
Ross,18,83.72,24.08,3.46
Best Buy,9,448.76,14.24,38.19
Costco,13,234.61,46.68,22.68
Walmart,4,79.84,2.87,6.96
Costco,10,45.51,7.93,2.69
Burger King,10,423.36,51.18,25.01
Lowe's,9,383.21,72.04,35.68
Home Depot,9,446.94,23.76,28.01
Burger King,3,109.65,17.11,12.97
Target,15,435.19,85.99,20.63
Best Buy,14,399.54,119.59,26.84
Walmart,5,177.83,26.65,21.61
Costco,5,458.33,60.5,23.85
McDonalds,4,164.57,9.84,17.28
Target,16,430.88,76.23,40.34
Lowe's,17,493.06,129.86,46.26
Walmart,20,343.77,94.55,19.23
Best Buy,18,356.02,11.76,32.35
Costco,2,230.38,67.92,17.24
Subway,18,369.97,41.71,30.19
Subway,11,117.24,11.64,10.5
Best Buy,1,487.77,70.51,26.7
Costco,18,425.67,108.85,40.08
Costco,2,163.96,15.34,10.31
Costco,2,380.4,83.53,41.41
Target,13,493.3,140.82,39.46
Target,14,108.85,23.5,9.36
McDonalds,19,8.64,1.16,0.38
Ross,7,36.39,6.94,4.21
Target,9,442.1,103.06,32.29
Best Buy,14,248.13,60.22,19.1
Starbucks,15,396.72,39.52,41.82
Home Depot,9,464.68,1.99,62.03
Burger King,15,377.6,45.67,41.14
KFC,5,460.1,24.69,30.06
Ross,20,470.75,27.25,60.73
Starbucks,17,421.27,20.7,54.27
KFC,16,65.09,18.29,4.37
Ross,4,422.62,6.9,22.38
Burger King,3,395.82,85.82,42.87
Subway,5,77.84,4.9,6.27
Costco,4,191.45,7.21,19.78
Best Buy,7,305.58,69.99,25.21
Subway,10,52.25,6.56,6.82
Burger King,7,470.52,18.39,64.41
Starbucks,9,397.27,38.69,33.91
Burger King,11,275.39,62.34,19.1
Walmart,7,175.01,46.45,16.74
Home Depot,19,66.33,1.3,7.21
