Vendor Name,Category,Number of Items,Total Price ($),Discount ($),Tax ($),Date,Time,Hour
KAHEKA STORE,Grocery and Supermarket,13.0,99.81,0.0,4.7,09/23/2023,18:31:17,18
Baskin Robbins,Restaurants and Food Services,2.0,5.59,0.0,0.26,9/1/2023,17:15 :00,17
Walmart,Grocery and Supermarket,5.0,10.22,0.0,0.82,09/23/23,14:13:39,14
BEN FRANKLIN CRAFTS #05614,Entertainment and Leisure,2.0,9.48,0.0,0.45,06/21/23,19:29:00,19
SAFEWAY,Grocery and Supermarket,4.0,23.16,1.5,1.04,08/20/23,20:04:00,20
T&C Surf Designs Ala Moana,Clothing and Apparel,2.0,57.75,0.0,2.6,10/15/2023,24:20:00,24
Honolulu Store,Grocery and Supermarket,3.0,12.23,0.0,0.55,6/17/2023,11:39:07,11
Ralphs,Restaurants and Food Services,3.0,14.97,0.0,0.0,03/15/23,16:35:00,16
McDonald's Restaurant,Restaurants and Food Services,6.0,7.31,0.0,0.33,10/30/2022,18:43 :00,18
Walmart,Home and Garden,1.0,36.09,0.0,1.62,10/21/23,11:46:09,11
KAHEKA STORE,Grocery and Supermarket,5.48,12.68,0.0,0.57,09/30/2023,14:17:04,14
SAFEWAY,Grocery and Supermarket,5.0,36.38,0.0,1.64,10/13/23,19:27:00,19
Raising,Restaurants and Food Services,4.0,35.67,0.0,1.68,9/17/2023,15:07:00,15
Foodland,Grocery and Supermarket,2.0,10.14,0.69,0.46,10/15/23,21:04:00,21
Sugar Sugar Hawaii,Entertainment and Leisure,4.0,37.86,0.0,1.71,"Nov 04, 2023",14:26 :00,14
McDonald's Restaurant,Restaurants and Food Services,2.0,7.1,0.0,0.32,11/12/2022,18:58 :00,18
<UNKNOWN>,Grocery and Supermarket,4.0,12.1,0.0,0.54,07/17/2023,19:52 :00,19
SAFEWAY,Grocery and Supermarket,1.0,4.7,0.0,0.21,05/26/22,11:57:00,11
"See's Candies, Inc (2HI001)",Grocery and Supermarket,5.0,5.65,0.25,0.25,7/3/23,14:52 :00,14
Longs Drugs,Grocery and Supermarket,3.0,7.63,6.97,0.36,"JULY 18, 2023",19:38 :00,19
WHOLE FOODS MARKET,Grocery and Supermarket,3.0,28.27,0.0,1.27,11/27/2022,11:17 :00,11
SAFEWAY,Grocery and Supermarket,4.0,29.65,2.0,1.33,08/10/23,21:45:00,21
Hardware Hawaii,Home and Garden,1.0,10.73,0.0,0.48,10/07/23,10:30:00,10
ROSS DRESS FOR LESS,Clothing and Apparel,2.0,15.16,0.0,0.68,10/14/23,11:51:39 ,11
Wet'N'Wild Hawaii,Entertainment and Leisure,2.0,146.58,0.0,6.6,08/06/2023,10:36:00,10
McDonald's Restaurant #14616,Restaurants and Food Services,8.0,8.56,0.0,0.48,07/04/2023,16:24 :00,16
Walmart,Grocery and Supermarket,14.0,51.26,0.0,2.3,06/27/23,20:08:54,20
SAFEWAY,Grocery and Supermarket,2.0,14.64,0.0,0.66,10/21/23,16:34:00,16
COSTCO WHOLESALE,Grocery and Supermarket,14.0,305.28,13.2,13.74,11/07/2023,18:10:00,18
COSTCO,Grocery and Supermarket,6.0,89.83,20.0,4.23,04/25/2022,18:33:00,18
Walmart,Grocery and Supermarket,5.0,29.5,0.0,1.33,05/09/22,18:36:08,18
SAFEWAY,Grocery and Supermarket,2.0,12.02,1.5,0.54,09/05/22,08:46:00,08
<UNKNOWN> Grove Music,Entertainment and Leisure,1.0,157.06,0.0,7.07,10/8/2023,24:31 :00,24
SAFEWAY,Grocery and Supermarket,3.0,18.92,0.9,0.85,05/05/22,20:18:00,20
University of Hawaii - Manoa Bookstore,Clothing and Apparel,2.0,31.45,0.0,0.0,10/31/2023,14:57:00,14
WHOLE FOODS MARKET,Grocery and Supermarket,4.0,19.97,6.09,0.9,04/13/2023,19:46 :00,19
PEARL CITY GATEWAY,Health and Beauty,3.0,26.15,0.0,1.18,07-17-2023,13:25:59,13
Dunkin',Restaurants and Food Services,4.0,11.47,0.0,0.54,2/28/2023,24:12 :00,24
Dunkin,Restaurants and Food Services,1.0,5.59,0.0,0.26,6/26/2023,11:09 :00,11
Taste Tea,Restaurants and Food Services,1.0,7.81,0.0,0.31,"October 23, 2023",15:52 :00,15
Oahu Honolulu Ala Moana,Grocery and Supermarket,18.0,87.27,3.45,3.92,10/21/2023,24:09 :00,24
Walmart,Grocery and Supermarket,2.0,11.03,0.0,0.5,11/05/23,18:06:31,18
Foodland,Grocery and Supermarket,9.0,73.3,7.09,3.3,10/17/23,<unknown>,<unknown>
Sam's Club #6410,Grocery and Supermarkets,1.0,64.2,0.0,0,07/17/23,24:01 :00,24
McDonald's Restaurant #4903,Restaurants and Food Services,6.0,6.69,0.0,0.32,08/06/2022,16:04 :00,16
ZIPPY'S MCCULLY,Restaurants and Food Services,6.0,35.64,0.0,1.39,9/20/2023,20:59 :00,20
Foodland,Grocery and Supermarket,2.0,16.52,0.0,0.74,09/04/23,14:41:00,14
Daiso,Home and Garden,11.0,15.18,0.0,0.68,05/21/2022,13:04:00,13
Oahu Honolulu Ala Moana - 808-206-7162,Clothing and Apparel,13.0,144.9,0.0,6.83,10/20/2023,20:15 :00,20
