Receipt Text,Receipt JSON,Merchant Name,Merchant Category,Items
"<UNKNOWN> Drugs
2470 S KING ST
HONOLULU, HI 96826
808.947.2651
17 TRN#0953 CSHR#0000097 STR#9954
<UNKNOWN> SF PEG BAG 3Z
3.99B
FRIO SF PEG BAG 3Z
3.99B
2 ITEMS
Survey ID #
8883 <UNKNOWN> 548 26
SUBTOTAL
7.98
HI 4.712% TAX
<UNKNOWN>
TOTAL
8.36
CHARGE
8.36
<UNKNOWN>
RF
CHASE VISA
<UNKNOWN>
APPROVED# 07180D
REF# 179539
TRAN TYPE: SALE
AID: A0000000031010
TC: B433100A91FD8A9A
TERMINAL# 84260804
NO SIGNATURE REQUIRED
CVM: 1F0000
<UNKNOWN> 0000000000
TSI(9B): 0000
CHANGE
.00
3509 9542 1220 9531 77
Returns with receipt, subject to
CVS Return Policy, thru 07/01/2022
after all coupons and discounts.
Refund amount is based on price
MAY 2, 2022
9:52 AM
<UNKNOWN>
<UNKNOWN>
GET YOUR CVS EXTRACARE CARD
We would love to hear
on recent experience us.
your This your with feedback
1 survey will take only
minute to <UNKNOWN>
Share Your Feedback
<UNKNOWN>
Hablamos espaأ±ol
THANK <UNKNOWN> OPEN 24 HOURS 7 DAYS A WEEK
","{
    ""ReceiptInfo"": {
        ""merchant"": ""<UNKNOWN> Drugs"",
        ""address"": ""2470 S KING ST"",
        ""city"": ""HONOLULU"",
        ""state"": ""HI"",
        ""phoneNumber"": ""808.947.2651"",
        ""tax"": ""<UNKNOWN>"",
        ""total"": 8.36,
        ""receiptDate"": ""MAY 2, 2022"",
        ""receiptTime"": ""9:52 AM"",
        ""ITEMS"": [
            {
                ""description"": ""<UNKNOWN> SF PEG BAG 3Z"",
                ""quantity"": 1,
                ""unitPrice"": 3.99,
                ""totalPrice"": 3.99,
                ""discountAmount"": ""<UNKNOWN>""
            },
            {
                ""description"": ""FRIO SF PEG BAG 3Z"",
                ""quantity"": 1,
                ""unitPrice"": 3.99,
                ""totalPrice"": 3.99,
                ""discountAmount"": ""<UNKNOWN>""
            }
        ]
    }
}",<UNKNOWN> Drugs,Entertainment and Leisure,"[
    {
        ""Name"": ""<UNKNOWN> SF PEG BAG 3Z"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""FRIO SF PEG BAG 3Z"",
        ""Category"": ""Clothing and Apparel""
    }
]"
"PACS UN
ALA MOANA CENTER, HI
1450 ALA MOANA BL #3224
HONOLULU, HI 96814
808-943-9317
Store 769
Register: 2
Date : 10/8/23
Time: 6:50 PM
Transaction Number: 9116
Salesperson:
580749
Cashier: 680749
Item
Qty
Price
Amount
Jg striped brianna sweate
000004694931 1
38.00
38.00
Color: White/black
Size: 1sz size
ROUND UP CHARITY
VIP-2
1
<UNKNOWN>
0.21
Subtotal
38.21
Tax 4.712%
1.79
Total USD 40.00
CC - Discover
40.00
***********6715
Auth #: 00904R
Transaction Type: Sale
Entry Method: Chip Read
Verification: Signature
Auth Time: 6:50 PM
Trace Number: 012163
Mode: Issuer
Application Label:Discover
AID:A0000001523010
0000008000
<UNKNOWN>
TSI:E800
ARC:00
TC -31E4DB5ECF96EED4
Change
0.00
We are hiring! Speak to a manager or go to
pacsun.com careers to apply.
PS Reserve and Fear of God Essentials a
final sale and may not be returned or
cannot exchanged. only be
Earrings and Womens underwear
be returned. Swimwear can
returned unworn with original tags intact
and sanitary panel in place. This
supersedes all other return <UNKNOWN>
Thank you for your charitable contribution
of 0.21 to Charity.
SOLD ITEM COUNT = 1
Customer Copy
","{
    ""ReceiptInfo"": {
        ""merchant"": ""PACS UN"",
        ""address"": ""ALA MOANA CENTER, HI"",
        ""city"": ""HONOLULU"",
        ""state"": ""HI"",
        ""phoneNumber"": ""808-943-9317"",
        ""tax"": 1.79,
        ""total"": 40.0,
        ""receiptDate"": ""10/8/23"",
        ""receiptTime"": ""6:50 PM"",
        ""ITEMS"": [
            {
                ""description"": ""Jg striped brianna sweate"",
                ""quantity"": 1,
                ""unitPrice"": 38.0,
                ""totalPrice"": 38.0,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""ROUND UP CHARITY"",
                ""quantity"": 1,
                ""unitPrice"": ""<UNKNOWN>"",
                ""totalPrice"": 0.21,
                ""discountAmount"": 0.0
            }
        ]
    }
}",PACS UN,Clothing and Apparel,"[
    {
        ""Name"": ""Jg striped brianna sweate"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""ROUND UP CHARITY"",
        ""Category"": ""Clothing and Apparel""
    }
]"
"Krispy Kreme
Doughnuts & Coffee
330 City Drive South
Orange, CA 92868
714.769.4330
Host: Hayden
03/15/2023
45
1:23 PM
10048
Area: Retail Counter
Latte Iced Medium
3.99
Subtotal
3.99
No Tax Sec Tax
0.00
Total Tax
0.00
Carryout Total
3.99
Visa #XXXXXXXXXXXX2130
3.99
Auth:00188D
Thank You for Visiting Krispy Kreme
We appreciate your business
--- Check Closed ---
","{
    ""ReceiptInfo"": {
        ""merchant"": ""Krispy Kreme"",
        ""address"": ""330 City Drive South"",
        ""city"": ""Orange"",
        ""state"": ""CA"",
        ""phoneNumber"": ""714.769.4330"",
        ""tax"": 0.0,
        ""total"": 3.99,
        ""receiptDate"": ""03/15/2023"",
        ""receiptTime"": ""1:23 PM"",
        ""ITEMS"": [
            {
                ""description"": ""Latte Iced Medium"",
                ""quantity"": 1,
                ""unitPrice"": 3.99,
                ""totalPrice"": 3.99,
                ""discountAmount"": 0.0
            }
        ]
    }
}",Krispy Kreme,Restaurants and Food Services,"[
    {
        ""Name"": ""Latte Iced Medium"",
        ""Category"": ""Clothing and Apparel""
    }
]"
"Give us feedback @ survey.walmart.com
Thank you! ID #: 7SL5ZG16NM4P
Walmart
Wal-Mart
808-955-8441 Mgr. WALTER
700 KEEAUMOKU ST
HONOLULU HI 96814
ST# 03478 OP# 009048 TE# 48 TR# 04501
# ITEMS SOLD 2
TC# 2622 0445 1338 1776 8173
SQZ BUF MAYO 840224600240 F
11.48 T
MAND 3# BAG 858410005130 F
5.68 X
SUBTOTAL
17.16
TAX1
4.7120 %
0.81
TOTAL
17.97
DISCOVER TEND
17.97
CHANGE DUE
0.00
DISCOVER CREDIT- 0757 I 1 APPR#00665R
<UNKNOWN> TOTAL PURCHASE
REF # <UNKNOWN>
AID A0000001523010
TC 8F1F1AADA9B65D11
TERMINAL # 27600502
*No Signature Required
11/05/23
22:30:53
Walmart-
Become a
member today
Scan for 30-day free trial.
Low prices You Can Trust. Every <UNKNOWN>
11/05/23
22:30:59
","{
    ""ReceiptInfo"": {
        ""merchant"": ""Walmart"",
        ""address"": ""700 KEEAUMOKU ST"",
        ""city"": ""HONOLULU"",
        ""state"": ""HI"",
        ""phoneNumber"": ""808-955-8441"",
        ""tax"": 0.81,
        ""total"": 17.97,
        ""receiptDate"": ""11/05/23"",
        ""receiptTime"": ""22:30:53"",
        ""ITEMS"": [
            {
                ""description"": ""SQZ BUF MAYO"",
                ""quantity"": 1,
                ""unitPrice"": 11.48,
                ""totalPrice"": 11.48,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""MAND 3# BAG"",
                ""quantity"": 1,
                ""unitPrice"": 5.68,
                ""totalPrice"": 5.68,
                ""discountAmount"": 0.0
            }
        ]
    }
}",Walmart,Grocery and Supermarket,"[
    {
        ""Name"": ""SQZ BUF MAYO"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""MAND 3# BAG"",
        ""Category"": ""Clothing and Apparel""
    }
]"
"WHOLE FOODS
MARKET
Queen QUE 808-379-1800
388 Kamakee St Ste 100
Honolulu, HI 96814 5200
BC PLAIN CRM TOP YGRT
$5.99 FT
365WFM RBST FREE CRM CHS
2
@
$2.69 ea
$5.38 FT
365WFM BREADED CALAMARI
2
@
$6.79 ea
$13.58 FT
PINEAPPLE SMALL
0.52 <UNKNOWN>
@
$5.79 <UNKNOWN>
$3.01 FT
BAG FEE
FT
1 EACH
Subtotal:
$27.96
Net Sales:
$27.96
Tax:
$0.15EA
$0.15
Tax:
4.71%
$1.32
Total:
$29.43
Sold Items:
7
Paid:
VISA
*2925 $29.43
Chip Card:VISA CREDIT
Chip Card AID:A0000000031010
RETURNS: All returns require a receipt.
No returns on items purchased after
90 days. For additional information
please visit wfm.com/returns.
Prime members save at Whole Foods Market,
and get Free Shipping, Video, Music & more
Learn more at amazon.com/PrimeSavings
Earn 5% Back at Whole Foods Market
with the Amazon Prime Rewards Visa.
Learn more at amazon.com/wfmvisa
HOW WAS YOUR SHOPPING EXPERIENCE?
Go to: <UNKNOWN>
ENTER FOR A CHANCE TO WIN A $250 GIFT CARD
216 98265 05/01/2022 06:15 PM
63011061521698265050120220
BKD34Y986D
Thanks for shopping at Whole Foods Market
<UNKNOWN>
","{
    ""ReceiptInfo"": {
        ""merchant"": ""WHOLE FOODS MARKET"",
        ""address"": ""388 Kamakee St Ste 100"",
        ""city"": ""Honolulu"",
        ""state"": ""HI"",
        ""phoneNumber"": ""808-379-1800"",
        ""tax"": 1.32,
        ""total"": 29.43,
        ""receiptDate"": ""05/01/2022"",
        ""receiptTime"": ""06:15 PM"",
        ""ITEMS"": [
            {
                ""description"": ""BC PLAIN CRM TOP YGRT"",
                ""quantity"": 1,
                ""unitPrice"": 5.99,
                ""totalPrice"": 5.99,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""365WFM RBST FREE CRM CHS"",
                ""quantity"": 2,
                ""unitPrice"": 2.69,
                ""totalPrice"": 5.38,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""365WFM BREADED CALAMARI"",
                ""quantity"": 2,
                ""unitPrice"": 6.79,
                ""totalPrice"": 13.58,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""PINEAPPLE SMALL"",
                ""quantity"": 0,
                ""unitPrice"": 5.79,
                ""totalPrice"": 0.0,
                ""discountAmount"": 3.01
            },
            {
                ""description"": ""BAG FEE"",
                ""quantity"": 1,
                ""unitPrice"": 0.0,
                ""totalPrice"": 0.0,
                ""discountAmount"": 0.0
            }
        ]
    }
}",WHOLE FOODS MARKET,Grocery and Supermarket,"[
    {
        ""Name"": ""BC PLAIN CRM TOP YGRT"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""365WFM RBST FREE CRM CHS"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""365WFM BREADED CALAMARI"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""PINEAPPLE SMALL"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""BAG FEE"",
        ""Category"": ""Clothing and Apparel""
    }
]"
"Give us feedback @ <UNKNOWN>
Thank you! ID <UNKNOWN> <UNKNOWN>
Walmart
301-604-0180 Mgr:DEBRA
3549 RUSSETT GRN
LAUREL MD 20724
ST# 01985 OP# 009049 TE# 49 TR# 04345
<UNKNOWN> PRK SB 008265754333 F
1.98 X
BOOSTER
088439295372
19.98 N
VOIDED BANKCARD TRANSACTION
TERMINAL <UNKNOWN> SC010112
TRANSACTION NOT COMPLETE
07/04/23
16:19:53
<UNKNOWN> BANKCARD TRANSACTION
TERMINAL # SC010112
TRANSACTION <UNKNOWN> COMPLETE
07/04/23
16:20:01
SUBTOTAL
21.96
TAX 1
6.000 %
0.12
TOTAL
22.08
VISA TEND
22.08
ACCOUNT #
**** **** <UNKNOWN> 2130 F
APPROVAL # 00592D
REF # 318500762875
TRANS ID - 583185732192035
VALIDATION - B339
PAYMENT SERVICE - E
TERMINAL # SC010112
07/04/23
16:20:21
CHANGE DUE
0.00
# ITEMS SOLD 2
<UNKNOWN> 0069 6254 8220 4557 9869
Walmart
Become a member
Scan for free 30-day trial
Low Prices You Can <UNKNOWN> Every <UNKNOWN>
07/04/23
16:20:22
***CUSTOMER <UNKNOWN>
","{
    ""ReceiptInfo"": {
        ""merchant"": ""Walmart"",
        ""address"": ""3549 RUSSETT GRN"",
        ""city"": ""LAUREL"",
        ""state"": ""MD"",
        ""phoneNumber"": ""301-604-0180"",
        ""tax"": 0.12,
        ""total"": 22.08,
        ""receiptDate"": ""07/04/23"",
        ""receiptTime"": ""16:20:22"",
        ""ITEMS"": [
            {
                ""description"": ""BOOSTER"",
                ""quantity"": 1,
                ""unitPrice"": 1.98,
                ""totalPrice"": 1.98,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""<UNKNOWN>"",
                ""quantity"": 1,
                ""unitPrice"": 19.98,
                ""totalPrice"": 19.98,
                ""discountAmount"": 0.0
            }
        ]
    }
}",Walmart,Grocery and Supermarkets,"[
    {
        ""Name"": ""BOOSTER"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""<UNKNOWN>"",
        ""Category"": ""Clothing and Apparel""
    }
]"
"<UNKNOWN>
KAHEKA STORE
Ph - # 973-4800
SALE
MID:
<UNKNOWN>
TID:
XXXXXX
09/27/2023
00:11:44
Entry Method:
Chip
Seq #: 083463
Approval Code:
02762R
Discover Credit
CARD #:
XXXXXXXXXXXX0757
AID:
A0000001523010
TVR:
0800008000
IAD:
<UNKNOWN>
<UNKNOWN>
<UNKNOWN>
ARC: 02762R
TC:
<UNKNOWN>
RRN:
<UNKNOWN>
Total:
USD$ 4.70
APPROVED BY ISSUER
ELEC. & TOBACCO
JK ALKALINE BATTERY
1 @ 2 FOR
$2.99
$1.50 T
PRODUCE & FLOWER
Plu# 4012
ORANGE NAVEL <UNKNOWN>
W
1.20 <UNKNOWN> @ $2.49/ <UNKNOWN>
$2.99 T F
BALANCE DUE
$4.70
Discover
$4.70
Auth Code <UNKNOWN> 02762R
CHANGE
$0.00
4.712% Tax
TAX
$4.49
$0.21
","{
    ""ReceiptInfo"": {
        ""merchant"": ""KAHEKA STORE"",
        ""address"": """",
        ""city"": """",
        ""state"": """",
        ""phoneNumber"": ""Ph - # 973-4800"",
        ""tax"": 4.49,
        ""total"": 4.7,
        ""receiptDate"": ""09/27/2023"",
        ""receiptTime"": ""00:11:44"",
        ""ITEMS"": [
            {
                ""description"": ""JK ALKALINE BATTERY"",
                ""quantity"": 1,
                ""unitPrice"": 2.99,
                ""totalPrice"": 2.99,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""ORANGE NAVEL"",
                ""quantity"": 1,
                ""unitPrice"": 2.49,
                ""totalPrice"": 2.99,
                ""discountAmount"": 1.5
            }
        ]
    }
}",KAHEKA STORE,Electronics and Appliances,"[
    {
        ""Name"": ""JK ALKALINE BATTERY"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""ORANGE NAVEL"",
        ""Category"": ""Clothing and Apparel""
    }
]"
"WHOLE FOODS
MARKET
Queen QUE 808-379-1800
388 Kamakee St Ste 100
Honolulu, HI 96814 5200
365WFM PASTA SAUCE
$2.29 FT
365WFM RSTD SLTD ALMDS
$9.99 FT
365WFM BREADED CALAMARI
2
@ $6.79 ea
$13.58 FT
Subtotal:
$25.86
Net Sales:
$25.86
Tax:
4.71%
$1.22
Total:
$27.08
Sold Items:
4
Paid:
VISA
*2925 $27.08
Chip Card:VISA CREDIT
Chip Card AID:A0000000031010
RETURNS: All returns require a receipt.
No returns on items purchased after
90 days. For additional information
please visit wfm.com/returns.
Prime members save at Whole Foods Market,
and get Free Shipping, Video, Music & more
Learn more at <UNKNOWN>
Earn 5% Back at Whole Foods Market
with the Amazon Prime Rewards Visa.
Learn more at amazon.com/wfmvisa
HOW WAS YOUR SHOPPING EXPERIENCE?
Go to: http://www.wfm.com/feedback
ENTER FOR A CHANCE TO WIN A $250 GIFT CARD
<UNKNOWN> 04/12/2022 07:31 PM
<UNKNOWN>
Y9UEKMST97
Thanks for shopping at Whole Foods Market
<UNKNOWN>
","{
    ""ReceiptInfo"": {
        ""merchant"": ""WHOLE FOODS MARKET"",
        ""address"": ""388 Kamakee St Ste 100"",
        ""city"": ""Honolulu"",
        ""state"": ""HI"",
        ""phoneNumber"": ""808-379-1800"",
        ""tax"": 1.22,
        ""total"": 27.08,
        ""receiptDate"": ""04/12/2022"",
        ""receiptTime"": ""07:31 PM"",
        ""ITEMS"": [
            {
                ""description"": ""365WFM PASTA SAUCE"",
                ""quantity"": 1,
                ""unitPrice"": 2.29,
                ""totalPrice"": 2.29,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""365WFM RSTD SLTD ALMDS"",
                ""quantity"": 1,
                ""unitPrice"": 9.99,
                ""totalPrice"": 9.99,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""365WFM BREADED CALAMARI"",
                ""quantity"": 2,
                ""unitPrice"": 6.79,
                ""totalPrice"": 13.58,
                ""discountAmount"": 0.0
            }
        ]
    }
}",WHOLE FOODS MARKET,Grocery and Supermarket,"[
    {
        ""Name"": ""365WFM PASTA SAUCE"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""365WFM RSTD SLTD ALMDS"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""365WFM BREADED CALAMARI"",
        ""Category"": ""Clothing and Apparel""
    }
]"
"Taco Bell 002491
<UNKNOWN>
376 Kamehameha Hwy
Pearl City, HI 96782
GIV
(808)486-9697
10/13/2023
1:12:30 PM
<UNKNOWN>
EA
Order 331005
Cashier: Robert C
ON
1 Beef Crunchy Taco
1.79
1 Beef Soft Taco
1.79
BACK
1 Chzy Bean Rice Bur
1.89
<UNKNOWN>
1 Chips N Cheese
2.79
7 Mild Sauce
0.00
SubTotal
8.26
Tax
0.39
$500
Total
8.65
Visa
8.65
CASH
Acct : <UNKNOWN>
Approval : 06916D
Entry Mode: Contactless
<UNKNOWN>
APL:
VISA CREDIT
AID:
A0000000031010
ON
TVR:
0000000000
TSI:
0000
BACK
IAD:
06011203A00000
-
CVM:
NONE
Order Number 405
$500
Total Items in Order: 4
CASH
Start earning FREE rewards now.
Download the Taco Bell App &
<UNKNOWN>
Scan the barcode below to get your <UNKNOWN>
Terms and exclusions apply
ON
BACK
6154401510867
-
<UNKNOWN>
$
","{
    ""ReceiptInfo"": {
        ""merchant"": ""Taco Bell 002491"",
        ""address"": ""376 Kamehameha Hwy"",
        ""city"": ""Pearl City"",
        ""state"": ""HI"",
        ""phoneNumber"": ""(808)486-9697"",
        ""tax"": 0.39,
        ""total"": 8.65,
        ""receiptDate"": ""10/13/2023"",
        ""receiptTime"": ""1:12:30 PM"",
        ""ITEMS"": [
            {
                ""description"": ""1 Beef Crunchy Taco"",
                ""quantity"": 1,
                ""unitPrice"": 1.79,
                ""totalPrice"": 1.79,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""1 Beef Soft Taco"",
                ""quantity"": 1,
                ""unitPrice"": 1.79,
                ""totalPrice"": 1.79,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""1 Chzy Bean Rice Bur"",
                ""quantity"": 1,
                ""unitPrice"": 1.89,
                ""totalPrice"": 1.89,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""1 Chips N Cheese"",
                ""quantity"": 1,
                ""unitPrice"": 2.79,
                ""totalPrice"": 2.79,
                ""discountAmount"": 0.0
            }
        ]
    }
}",Taco Bell 002491,Restaurants and Food Services,"[
    {
        ""Name"": ""1 Beef Crunchy Taco"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""1 Beef Soft Taco"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""1 Chzy Bean Rice Bur"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""1 Chips N Cheese"",
        ""Category"": ""Clothing and Apparel""
    }
]"
"KAHEKA STORE
Ph <UNKNOWN> # 973-4800
SALE
MID:
TID:
XXXXXX
09/21/2023
00:44:40
Entry Method:
Chip
Seq #: 051018
Approval Code:
02193R
Discover Credit
CARD #:
<UNKNOWN>
AID:
A0000001523010
TVR:
0800008000
IAD:
<UNKNOWN>
TSI: E800
ARC: 02193R
TC:
F77AA9E7AF49467D
RRN:
540500001
Total:
USD$ 2.97
APPROVED BY ISSUER
PRODUCE & FLOWER
Plu# <UNKNOWN>
CHINESE PARSLEY CILA
$2.69 T F
SEASONAL ELECTRO
Plu# 9037
PAPER BAG TIMES
$0.15 T
BALANCE DUE
$2.97
Discover
$2.97
Auth Code = 02193R
CHANGE
$0.00
4.712% Tax
TAX
$2.84
$0.13
Total number of items sold = 2
C9905
#4960
0:44:47
21SEP2023
","{
    ""ReceiptInfo"": {
        ""merchant"": ""KAHEKA STORE"",
        ""address"": ""Ph <UNKNOWN> # 973-4800"",
        ""city"": """",
        ""state"": """",
        ""phoneNumber"": """",
        ""tax"": 2.84,
        ""total"": 2.97,
        ""receiptDate"": ""09/21/2023"",
        ""receiptTime"": ""00:44:40"",
        ""ITEMS"": [
            {
                ""description"": ""CHINESE PARSLEY CILA"",
                ""quantity"": 1,
                ""unitPrice"": 2.69,
                ""totalPrice"": 2.69,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""PAPER BAG TIMES"",
                ""quantity"": 1,
                ""unitPrice"": 0.15,
                ""totalPrice"": 0.15,
                ""discountAmount"": 0.0
            }
        ]
    }
}",KAHEKA STORE,Grocery and Supermarkets,"[
    {
        ""Name"": ""CHINESE PARSLEY CILA"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""PAPER BAG TIMES"",
        ""Category"": ""Clothing and Apparel""
    }
]"
"COSTCO
WHOLESALE
Hawaii Kai #120
333A Keahole Street
Honolulu, HI 96825
5E Member 111946345700
E <UNKNOWN> of Basket
956752 HI WATER 12P
6.65 A
E 2700000000 HI BEVERAGE
0.72
E
782796 <UNKNOWN>
6.39 A
E 9600000000 HI BEVERAGE
2.40
E
Count 2
5092 WATERMELON
12.99 A
E
1083849 BLACK GRAPE
7.99 A
E
1489206 PRINGLES VTY
24.89 A
E 0000311175 / 1489206
5.00-A
E
969786 PANDA COOKIE
9.99 A
E
107699 DUMPLINGS
13.59 A
E
30669 <UNKNOWN>
2.39 A
E
18600 MANDARINS
8.79 A
E
24311 VAR. MUFFIN
9.99 A
E
38578 SPINSALAD
12.52 A
SUBTOTAL
114.30
TAX
5.24
**** TOTAL
<UNKNOWN>
<UNKNOWN>
CHIP Read
AID: A0000000980840 VERIFIED BY PIN
Seq# 2747
App#: 227339
EFT/Debit
Resp: APPROVED
Tran ID#: 326000002747
APPROVED - Purchase
AMOUNT: $119.54
09/17/2023 14:56 120 2 231 109
EFT/Debit
119.54
CHANGE
0.00
A 4.712% GET
5.24
TOTAL TAX
5.24
TOTAL NUMBER OF ITEMS SOLD -
11
INSTANT SAVINGS
$ 5.00
09/17/2023 14:56 120 <UNKNOWN>
21012000202312309171456
OP#: 109 Name: CHERI R.
Thank You!
Please Come Again
Whse : 120 Trm:2 Trn:231 OP:109
Total BOB Item Count - 2
Items Sold: 11
5E 09/17/2023 14:56
","{
    ""ReceiptInfo"": {
        ""merchant"": ""COSTCO WHOLESALE"",
        ""address"": ""333A Keahole Street"",
        ""city"": ""Honolulu"",
        ""state"": ""HI"",
        ""phoneNumber"": """",
        ""tax"": 5.24,
        ""total"": 119.54,
        ""receiptDate"": ""09/17/2023"",
        ""receiptTime"": ""14:56"",
        ""ITEMS"": [
            {
                ""description"": ""956752 HI WATER 12P"",
                ""quantity"": 2,
                ""unitPrice"": 6.65,
                ""totalPrice"": 13.3,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""2700000000 HI BEVERAGE"",
                ""quantity"": 1,
                ""unitPrice"": 0.72,
                ""totalPrice"": 0.72,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""782796"",
                ""quantity"": 1,
                ""unitPrice"": 6.39,
                ""totalPrice"": 6.39,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""9600000000 HI BEVERAGE"",
                ""quantity"": 1,
                ""unitPrice"": 2.4,
                ""totalPrice"": 2.4,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""5092 WATERMELON"",
                ""quantity"": 1,
                ""unitPrice"": 12.99,
                ""totalPrice"": 12.99,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""1083849 BLACK GRAPE"",
                ""quantity"": 1,
                ""unitPrice"": 7.99,
                ""totalPrice"": 7.99,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""1489206 PRINGLES VTY"",
                ""quantity"": 1,
                ""unitPrice"": 24.89,
                ""totalPrice"": 24.89,
                ""discountAmount"": 5.0
            },
            {
                ""description"": ""969786 PANDA COOKIE"",
                ""quantity"": 1,
                ""unitPrice"": 9.99,
                ""totalPrice"": 9.99,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""107699 DUMPLINGS"",
                ""quantity"": 1,
                ""unitPrice"": 13.59,
                ""totalPrice"": 13.59,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""30669"",
                ""quantity"": 1,
                ""unitPrice"": 2.39,
                ""totalPrice"": 2.39,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""18600 MANDARINS"",
                ""quantity"": 1,
                ""unitPrice"": 8.79,
                ""totalPrice"": 8.79,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""24311 VAR. MUFFIN"",
                ""quantity"": 1,
                ""unitPrice"": 9.99,
                ""totalPrice"": 9.99,
                ""discountAmount"": 0.0
            },
            {
                ""description"": ""38578 SPINSALAD"",
                ""quantity"": 1,
                ""unitPrice"": 12.52,
                ""totalPrice"": 12.52,
                ""discountAmount"": 0.0
            }
        ]
    }
}",COSTCO WHOLESALE,Grocery and Supermarket,"[
    {
        ""Name"": ""956752 HI WATER 12P"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""2700000000 HI BEVERAGE"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""782796"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""9600000000 HI BEVERAGE"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""5092 WATERMELON"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""1083849 BLACK GRAPE"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""1489206 PRINGLES VTY"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""969786 PANDA COOKIE"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""107699 DUMPLINGS"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""30669"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""18600 MANDARINS"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""24311 VAR. MUFFIN"",
        ""Category"": ""Clothing and Apparel""
    },
    {
        ""Name"": ""38578 SPINSALAD"",
        ""Category"": ""Clothing and Apparel""
    }
]"
