Vendor Name,Number of Items,Total Price ($),Discount ($),Tax ($),Category,Time
Burger King,10,197.07,24.5,19.86,Food Services,2021-01-02 04:24:48
Subway,7,350.8,16.85,24.15,Food Services,2021-12-15 01:50:52
Home Depot,19,437.9,4.14,59.5,Home Improvement,2022-03-17 18:27:04
Home Depot,2,87.01,1.67,10.25,Home Improvement,2021-12-13 16:50:28
Best Buy,16,454.48,82.35,18.61,Electronics,2021-01-31 05:20:18
Lowe's,11,159.47,22.34,17.95,Home Improvement,2022-11-11 15:29:11
Home Depot,7,276.54,79.9,29.07,Home Improvement,2022-10-13 11:10:10
Burger King,5,493.48,59.49,51.15,Food Services,2021-09-03 13:58:08
Walmart,7,12.07,2.73,1.38,Retail,2022-06-09 21:06:53
Best Buy,20,53.4,1.9,5.92,Electronics,2022-11-10 14:05:15
Starbucks,9,345.83,18.91,31.89,Food Services,2022-12-18 17:40:28
Home Depot,3,15.81,4.33,1.49,Home Improvement,2021-03-31 22:17:03
Starbucks,5,328.52,80.55,28.39,Food Services,2021-03-31 09:47:37
Ross,9,426.36,5.41,29.71,Retail,2021-07-21 16:35:17
Best Buy,11,473.52,133.31,47.96,Electronics,2021-02-02 15:01:16
Burger King,20,329.4,70.4,36.33,Food Services,2022-05-13 05:05:48
Home Depot,12,436.35,23.34,36.16,Home Improvement,2021-08-15 01:17:41
Walmart,5,79.76,7.98,9.26,Retail,2022-07-13 01:48:00
Costco,11,390.81,4.18,29.76,Retail,2021-04-27 01:19:00
Subway,10,183.65,54.51,8.13,Food Services,2021-03-31 05:49:27
Lowe's,8,467.21,43.15,57.55,Home Improvement,2022-07-20 23:13:15
Costco,10,204.57,20.16,16.87,Retail,2021-03-19 04:57:23
Best Buy,16,239.63,60.45,26.45,Electronics,2021-09-24 22:07:48
Costco,16,62.42,9.32,2.86,Retail,2021-09-18 06:22:46
Burger King,5,460.25,86.54,32.72,Food Services,2022-05-12 05:33:31
Costco,3,404.85,24.05,27.46,Retail,2021-10-26 21:24:49
Walmart,4,199.93,31.13,16.01,Retail,2022-01-15 12:30:52
Subway,7,214.4,23.69,28.39,Food Services,2021-07-22 15:50:12
Subway,6,218.45,23.5,10.99,Food Services,2022-11-02 18:16:41
Burger King,1,451.99,61.24,45.99,Food Services,2021-04-03 08:38:54
Lowe's,13,131.96,25.38,15.96,Home Improvement,2022-09-12 09:13:57
McDonalds,20,77.45,4.6,6.4,Food Services,2022-03-01 09:28:16
Ross,4,494.4,145.8,22.6,Retail,2021-11-12 06:39:09
KFC,14,439.44,65.31,53.02,Food Services,2021-09-08 11:05:45
Lowe's,16,319.36,83.8,24.56,Home Improvement,2022-12-25 08:56:24
McDonalds,1,173.41,50.08,17.25,Food Services,2022-09-28 10:49:55
Target,2,264.93,69.5,21.55,Retail,2021-05-02 02:17:11
Home Depot,19,150.72,31.94,11.53,Home Improvement,2022-09-14 08:04:15
Costco,17,435.1,5.14,31.18,Retail,2021-02-01 13:26:09
Starbucks,1,380.65,51.23,44.86,Food Services,2022-09-14 21:06:46
Ross,15,484.46,73.4,57.59,Retail,2022-01-26 05:56:52
Walmart,19,49.87,11.88,3.87,Retail,2022-04-12 03:27:46
Costco,14,453.36,28.03,44.04,Retail,2022-04-10 22:58:43
Home Depot,16,423.52,123.53,33.22,Home Improvement,2021-07-01 10:04:50
Walmart,1,371.67,33.72,36.17,Retail,2021-09-16 09:42:47
Costco,16,430.64,121.82,24.79,Retail,2021-11-13 23:02:06
Home Depot,13,35.82,6.89,1.81,Home Improvement,2021-08-11 23:42:52
Burger King,11,32.49,0.35,2.95,Food Services,2022-01-18 00:23:36
Subway,3,338.4,15.37,48.03,Food Services,2021-11-16 08:12:31
Walmart,20,235.81,32.46,12.23,Retail,2022-08-28 09:44:12
Ross,1,21.07,3.9,1.94,Retail,2021-03-23 18:48:01
Burger King,18,326.25,19.08,39.42,Food Services,2022-08-27 20:55:23
Lowe's,4,441.23,80.76,34.86,Home Improvement,2022-05-07 03:09:42
Target,4,484.9,103.81,30.35,Retail,2022-10-22 12:57:34
Ross,13,400.67,110.21,39.87,Retail,2022-06-13 22:52:48
Costco,17,430.91,128.74,16.26,Retail,2021-11-01 11:54:05
Lowe's,12,379.53,51.86,42.25,Home Improvement,2021-02-28 12:25:53
Walmart,2,245.65,66.4,25.9,Retail,2022-06-02 16:40:06
Subway,19,438.56,30.22,52.12,Food Services,2022-11-19 03:44:35
KFC,17,350.76,44.21,24.69,Food Services,2021-03-30 02:45:58
Ross,14,446.46,56.53,22.77,Retail,2021-03-23 08:57:14
Home Depot,3,54.11,12.56,5.13,Home Improvement,2021-01-24 20:18:18
Lowe's,14,344.78,3.12,48.49,Home Improvement,2021-09-10 01:06:07
Burger King,9,43.88,0.93,3.69,Food Services,2021-01-23 19:38:11
Target,12,93.06,23.18,5.1,Retail,2021-10-12 03:03:08
Costco,20,447.25,27.91,29.55,Retail,2022-06-08 07:46:50
Burger King,4,375.25,33.01,40.71,Food Services,2022-12-26 12:25:45
Subway,8,430.29,24.14,24.87,Food Services,2021-09-25 13:00:21
Burger King,9,69.43,20.13,4.25,Food Services,2022-01-03 16:15:49
Starbucks,10,468.88,134.78,37.95,Food Services,2021-05-23 22:51:27
Subway,3,55.78,9.72,3.02,Food Services,2022-11-29 05:52:50
Ross,5,403.17,38.21,27.11,Retail,2022-08-10 07:34:50
Ross,10,189.37,37.68,20.64,Retail,2022-04-12 23:20:00
Walmart,13,43.57,0.96,3.92,Retail,2022-03-04 19:13:50
Home Depot,5,297.58,26.61,23.16,Home Improvement,2021-07-12 16:08:44
Lowe's,12,320.34,50.86,23.62,Home Improvement,2021-01-07 13:06:07
Home Depot,11,223.44,24.91,28.83,Home Improvement,2021-03-12 17:24:57
Ross,4,142.1,23.8,14.06,Retail,2022-09-11 00:07:27
Burger King,15,464.49,25.83,40.43,Food Services,2021-05-16 17:20:15
McDonalds,15,173.49,27.24,12.51,Food Services,2022-05-06 12:19:43
KFC,3,244.23,14.92,11.51,Food Services,2022-06-27 22:08:59
Lowe's,20,233.7,15.34,13.42,Home Improvement,2022-05-04 11:55:32
Starbucks,18,306.53,39.01,33.48,Food Services,2021-03-13 21:18:49
KFC,16,381.24,26.58,44.76,Food Services,2021-08-06 13:13:33
KFC,1,64.81,17.18,2.57,Food Services,2021-07-19 06:55:11
Home Depot,17,445.83,94.96,33.14,Home Improvement,2022-08-03 20:43:06
Starbucks,12,145.28,32.92,15.83,Food Services,2022-04-08 11:14:43
Costco,2,39.88,3.14,3.8,Retail,2021-04-02 19:07:29
Best Buy,8,445.9,101.93,19.54,Electronics,2022-10-31 17:06:17
Starbucks,10,262.32,45.17,24.48,Food Services,2022-02-17 17:33:46
Costco,14,478.05,77.96,49.67,Retail,2022-12-04 04:38:01
Starbucks,10,223.97,38.18,11.85,Food Services,2021-04-06 18:26:43
Burger King,4,193.81,34.37,10.2,Food Services,2022-06-04 01:14:21
Starbucks,12,317.9,70.8,17.74,Food Services,2022-01-15 16:58:35
Burger King,17,162.53,31.79,7.32,Food Services,2021-08-22 03:51:24
Ross,16,30.94,5.77,1.32,Retail,2022-01-02 05:56:06
Home Depot,1,423.88,124.48,35.54,Home Improvement,2021-03-05 04:54:03
KFC,13,8.18,0.1,0.91,Food Services,2021-07-29 23:16:27
KFC,10,364.91,24.82,42.57,Food Services,2021-08-12 15:17:39
McDonalds,4,219.84,47.24,15.26,Food Services,2021-09-14 20:36:40
Home Depot,14,78.27,21.91,3.65,Home Improvement,2021-09-03 12:00:12
Ross,7,455.64,60.71,50.92,Retail,2021-10-30 01:09:28
Home Depot,16,197.82,13.07,12.86,Home Improvement,2021-06-08 15:50:41
Subway,2,453.38,4.53,50.86,Food Services,2022-11-08 12:47:29
Ross,12,33.21,6.36,1.81,Retail,2022-04-20 09:45:43
Starbucks,20,47.88,12.48,4.43,Food Services,2022-08-23 04:30:30
Target,14,231.86,43.95,19.09,Retail,2022-05-19 17:08:38
Best Buy,14,292.58,43.03,30.05,Electronics,2021-06-17 07:42:44
Target,9,25.91,0.41,2.17,Retail,2021-08-14 02:26:39
KFC,1,74.5,17.58,6.72,Food Services,2022-04-18 17:49:59
Home Depot,18,461.09,62.76,33.44,Home Improvement,2021-03-21 11:44:05
Subway,3,398.42,38.6,34.39,Food Services,2021-09-10 13:06:48
Starbucks,1,263.39,15.02,14.41,Food Services,2022-11-07 17:00:11
Best Buy,12,97.95,5.92,10.79,Electronics,2022-07-26 08:37:38
Starbucks,10,260.87,30.1,22.66,Food Services,2022-11-09 06:48:18
Burger King,8,27.03,7.58,1.11,Food Services,2021-12-25 00:22:39
Lowe's,15,28.5,6.92,3.19,Home Improvement,2021-12-24 16:33:35
Lowe's,4,47.38,3.43,5.83,Home Improvement,2021-04-30 10:57:33
Home Depot,7,223.12,5.16,20.2,Home Improvement,2022-08-10 07:00:42
Home Depot,2,479.66,35.94,31.95,Home Improvement,2022-10-15 19:17:29
Starbucks,12,163.2,21.29,15.0,Food Services,2021-08-10 18:12:49
Subway,18,395.57,84.38,39.75,Food Services,2022-02-04 06:18:56
Subway,15,270.4,21.17,18.24,Food Services,2021-04-03 05:17:31
Subway,4,90.43,11.25,5.69,Food Services,2022-11-15 08:26:45
Burger King,1,372.25,57.54,42.77,Food Services,2021-04-05 14:24:09
Home Depot,9,63.53,14.05,4.25,Home Improvement,2022-06-09 04:42:51
Burger King,18,332.0,22.07,41.28,Food Services,2021-07-06 12:27:40
Costco,17,157.22,15.44,12.38,Retail,2022-01-09 00:52:32
Starbucks,19,89.83,21.82,7.16,Food Services,2021-09-12 16:12:50
Target,19,319.23,77.76,33.25,Retail,2021-05-01 13:56:30
Ross,17,495.66,20.16,33.59,Retail,2022-12-12 19:05:35
Lowe's,19,384.79,111.89,20.07,Home Improvement,2021-04-13 15:03:20
McDonalds,13,179.96,31.91,16.71,Food Services,2022-12-01 16:18:45
Costco,20,417.8,65.98,30.21,Retail,2021-12-20 21:03:13
Starbucks,1,479.52,79.92,26.49,Food Services,2022-11-14 19:12:42
Lowe's,16,275.28,58.16,12.57,Home Improvement,2021-04-17 18:08:49
Subway,13,353.19,87.06,34.21,Food Services,2021-10-26 07:59:59
Walmart,7,23.95,5.22,2.74,Retail,2021-09-24 13:03:58
Lowe's,8,133.75,26.95,8.6,Home Improvement,2021-10-04 18:59:34
Subway,18,33.8,6.39,2.34,Food Services,2022-01-17 10:53:59
KFC,2,17.16,0.23,1.23,Food Services,2022-05-23 21:08:54
Target,3,411.37,42.57,42.93,Retail,2021-04-16 12:26:28
McDonalds,15,220.43,23.68,13.32,Food Services,2021-09-13 09:31:19
Burger King,14,194.42,23.87,13.03,Food Services,2022-02-17 16:50:00
Burger King,15,380.75,64.51,19.69,Food Services,2021-10-31 03:41:53
Ross,1,252.77,47.16,23.89,Retail,2022-10-15 11:42:13
Burger King,5,44.43,3.16,5.48,Food Services,2021-05-17 21:58:56
McDonalds,1,478.5,128.67,43.48,Food Services,2022-10-14 03:51:32
KFC,18,88.32,2.08,12.31,Food Services,2022-04-10 09:15:40
Costco,20,316.12,67.34,27.74,Retail,2021-02-01 02:33:49
Starbucks,11,403.92,88.79,16.62,Food Services,2022-12-26 05:37:28
Walmart,16,49.36,4.33,2.93,Retail,2021-07-03 10:03:48
Best Buy,12,85.33,19.28,5.53,Electronics,2022-09-16 23:02:36
Lowe's,13,12.32,1.96,0.82,Home Improvement,2021-12-31 05:15:22
Walmart,18,287.4,22.63,31.42,Retail,2021-12-21 02:55:20
Home Depot,4,204.87,30.48,9.08,Home Improvement,2022-07-29 17:49:34
Walmart,9,341.96,59.71,36.01,Retail,2021-08-14 01:50:45
KFC,7,382.49,59.24,28.64,Food Services,2022-10-11 02:17:54
Starbucks,7,62.42,18.38,5.75,Food Services,2022-12-20 02:24:46
McDonalds,19,338.56,54.11,39.13,Food Services,2021-05-07 06:10:13
Ross,11,423.88,104.28,34.67,Retail,2021-02-09 19:27:37
Subway,5,476.39,51.91,47.78,Food Services,2021-09-08 21:12:06
Lowe's,13,302.35,89.57,10.66,Home Improvement,2021-04-20 07:55:59
Subway,2,223.73,22.91,10.23,Food Services,2022-07-15 12:03:36
Lowe's,9,374.9,21.11,37.11,Home Improvement,2021-11-26 05:40:53
Starbucks,6,267.12,5.07,29.86,Food Services,2022-03-27 06:08:53
Costco,17,317.9,51.83,23.54,Retail,2021-12-04 14:13:52
Starbucks,10,146.06,18.78,18.98,Food Services,2022-07-12 14:57:58
Starbucks,9,271.25,45.13,33.69,Food Services,2021-05-28 13:38:17
Burger King,14,396.8,100.56,37.03,Food Services,2021-05-01 15:37:02
KFC,19,195.15,27.17,9.01,Food Services,2022-12-10 16:54:39
Home Depot,20,400.25,91.29,43.25,Home Improvement,2021-10-09 08:18:55
Best Buy,6,341.73,64.68,31.25,Electronics,2022-01-22 00:33:35
Walmart,8,287.92,20.91,18.29,Retail,2022-08-12 19:32:11
Home Depot,3,288.7,20.5,32.55,Home Improvement,2022-11-02 21:42:16
Best Buy,4,479.21,23.65,64.85,Electronics,2022-12-22 18:55:03
Home Depot,13,470.49,35.67,60.08,Home Improvement,2022-08-24 18:41:56
Target,20,167.24,15.4,15.07,Retail,2022-08-16 06:31:49
Starbucks,7,382.36,44.35,43.11,Food Services,2022-05-01 22:49:16
KFC,13,350.06,86.38,28.55,Food Services,2021-10-03 09:54:27
Subway,5,284.39,23.75,34.46,Food Services,2021-11-06 04:59:09
Lowe's,17,71.99,1.76,9.59,Home Improvement,2021-10-08 09:55:34
Walmart,3,99.43,3.31,10.0,Retail,2021-02-03 11:49:05
Target,1,160.83,43.68,17.39,Retail,2022-08-17 23:37:37
KFC,9,206.18,8.79,12.78,Food Services,2022-11-05 02:45:50
Starbucks,17,34.62,1.3,2.11,Food Services,2022-01-09 12:29:33
Burger King,2,366.26,57.09,40.92,Food Services,2022-06-21 20:41:16
Burger King,13,475.09,49.13,46.25,Food Services,2021-03-06 07:29:11
Costco,18,91.34,7.28,10.93,Retail,2021-09-12 17:12:37
Burger King,9,392.25,60.89,31.69,Food Services,2022-12-08 19:34:09
Ross,15,278.6,3.23,29.89,Retail,2022-05-14 07:21:08
Best Buy,2,448.5,42.53,58.73,Electronics,2021-05-30 19:40:28
KFC,15,307.39,74.9,23.77,Food Services,2022-07-06 02:36:43
Target,5,240.86,40.17,20.94,Retail,2022-09-30 08:59:07
Best Buy,11,6.22,1.45,0.29,Electronics,2022-04-17 21:22:57
Target,19,228.53,57.14,17.35,Retail,2022-10-16 11:12:13
KFC,4,72.37,20.09,3.57,Food Services,2021-04-08 04:01:52
Walmart,11,443.54,25.73,38.18,Retail,2021-02-18 04:29:47
Burger King,10,399.4,109.24,31.93,Food Services,2022-09-10 01:35:55
Burger King,6,182.15,45.64,7.88,Food Services,2021-02-11 22:45:08
Lowe's,12,304.05,56.57,18.71,Home Improvement,2021-08-29 14:01:31
Subway,15,209.05,1.92,26.98,Food Services,2021-05-28 23:03:17
Home Depot,3,182.02,6.74,14.91,Home Improvement,2021-05-18 13:08:19
Home Depot,20,346.83,93.33,20.86,Home Improvement,2022-09-07 04:45:19
Best Buy,16,240.88,62.0,18.53,Electronics,2021-11-09 04:34:37
Starbucks,1,325.76,9.35,41.97,Food Services,2021-09-17 02:59:45
Target,4,238.33,2.36,33.25,Retail,2022-05-01 20:45:51
Starbucks,2,5.36,0.54,0.7,Food Services,2022-06-25 13:56:53
Ross,6,91.43,25.26,7.54,Retail,2021-07-08 10:02:42
Subway,11,473.07,68.54,56.14,Food Services,2022-06-11 23:06:33
Home Depot,2,117.08,22.33,7.85,Home Improvement,2021-07-05 00:07:35
Target,8,85.99,10.85,6.49,Retail,2022-03-16 03:27:41
Ross,13,284.63,1.15,40.55,Retail,2021-01-05 09:05:00
KFC,13,360.64,18.6,22.19,Food Services,2021-01-20 13:07:48
Target,17,6.83,0.1,0.96,Retail,2022-03-22 01:31:03
Subway,5,390.27,78.86,27.4,Food Services,2021-01-21 12:54:28
Home Depot,14,286.18,58.93,27.52,Home Improvement,2022-12-18 13:19:52
Ross,12,257.57,41.21,12.4,Retail,2021-11-13 17:10:08
Subway,12,483.2,62.56,39.37,Food Services,2022-01-01 22:34:25
Home Depot,8,458.59,33.03,41.76,Home Improvement,2022-12-16 21:50:08
Subway,3,418.61,125.33,40.62,Food Services,2021-10-16 18:47:29
Best Buy,1,304.0,71.1,32.06,Electronics,2021-08-03 14:16:01
Walmart,20,164.18,39.31,18.28,Retail,2021-03-24 20:17:20
Best Buy,2,76.38,8.99,8.54,Electronics,2022-07-22 18:52:24
Home Depot,14,462.66,98.99,40.16,Home Improvement,2021-05-06 08:19:24
Ross,11,239.81,11.44,32.39,Retail,2022-11-03 13:08:58
Starbucks,17,60.7,6.71,3.47,Food Services,2021-10-05 18:32:38
Lowe's,17,377.95,22.19,51.85,Home Improvement,2021-05-18 09:36:50
Burger King,19,165.71,18.9,7.95,Food Services,2022-03-05 07:29:41
Home Depot,2,342.7,27.66,38.68,Home Improvement,2021-09-27 10:16:06
Ross,5,59.6,6.38,2.83,Retail,2022-03-24 22:23:46
Home Depot,15,42.7,9.1,3.97,Home Improvement,2022-08-28 03:08:59
Home Depot,18,364.47,15.12,22.81,Home Improvement,2021-05-08 17:58:18
McDonalds,1,265.03,65.12,17.13,Food Services,2022-11-16 23:17:07
Subway,10,359.64,36.16,20.01,Food Services,2022-12-12 00:35:32
Home Depot,9,450.11,46.25,40.45,Home Improvement,2021-09-15 17:00:39
Best Buy,5,456.52,134.84,40.01,Electronics,2021-08-26 02:07:47
McDonalds,13,176.53,50.24,12.77,Food Services,2021-11-15 12:50:24
Home Depot,4,343.3,15.86,16.53,Home Improvement,2022-04-08 12:22:52
KFC,17,57.87,13.53,5.31,Food Services,2022-04-08 18:15:13
KFC,20,490.95,16.38,56.4,Food Services,2022-04-23 03:28:38
Ross,13,47.26,0.51,2.88,Retail,2021-10-09 07:16:23
Burger King,16,162.59,32.97,11.27,Food Services,2022-06-26 03:03:54
Starbucks,16,406.98,27.92,24.98,Food Services,2022-03-05 11:08:42
Costco,17,460.8,23.22,58.09,Retail,2022-10-22 21:03:40
Ross,17,207.41,41.11,15.6,Retail,2022-06-16 00:30:54
Home Depot,9,15.48,0.62,1.32,Home Improvement,2022-11-19 12:56:51
Lowe's,19,31.56,3.55,3.65,Home Improvement,2022-05-16 06:05:45
Subway,13,170.59,25.94,13.82,Food Services,2022-01-08 18:47:27
Subway,4,138.0,21.01,12.29,Food Services,2021-11-03 02:23:07
Lowe's,9,94.6,15.35,5.23,Home Improvement,2022-10-24 21:46:21
Subway,5,231.18,66.75,16.08,Food Services,2022-03-16 17:14:47
Home Depot,18,50.66,7.33,5.7,Home Improvement,2021-08-19 10:46:16
Ross,12,406.87,16.92,53.19,Retail,2022-10-02 05:47:45
KFC,5,295.31,17.59,14.8,Food Services,2021-11-11 01:41:23
Best Buy,20,247.72,51.31,28.11,Electronics,2022-03-11 14:41:23
Target,11,436.93,89.89,25.74,Retail,2022-01-22 14:33:56
Starbucks,9,116.18,17.27,14.31,Food Services,2022-01-31 08:02:45
Target,3,43.36,7.46,2.61,Retail,2021-10-13 10:40:48
Home Depot,5,119.66,33.6,10.69,Home Improvement,2022-01-09 16:43:05
KFC,12,145.03,26.65,15.76,Food Services,2021-04-03 18:53:33
Home Depot,12,252.63,35.69,25.08,Home Improvement,2021-10-18 10:43:03
KFC,12,218.8,23.58,17.59,Food Services,2022-08-19 04:47:15
Burger King,10,433.92,62.45,29.4,Food Services,2021-12-13 09:48:04
Ross,12,466.78,104.09,51.85,Retail,2021-09-20 14:33:32
Lowe's,8,59.44,6.85,4.67,Home Improvement,2022-02-03 20:58:38
Lowe's,19,415.11,27.48,34.86,Home Improvement,2021-08-30 17:17:31
Lowe's,8,160.69,32.97,7.56,Home Improvement,2021-09-04 08:00:57
Home Depot,8,411.28,53.22,19.64,Home Improvement,2022-08-23 03:18:34
Walmart,14,51.27,3.08,3.98,Retail,2021-03-29 20:29:23
Ross,12,18.99,5.43,0.69,Retail,2022-02-20 05:14:12
Walmart,5,62.66,11.37,7.36,Retail,2021-06-04 20:27:00
Costco,15,102.86,0.05,14.36,Retail,2022-10-20 04:36:36
Home Depot,3,270.78,75.22,14.22,Home Improvement,2021-11-19 16:05:00
Home Depot,16,404.65,52.91,31.0,Home Improvement,2022-08-18 11:07:18
Walmart,20,477.5,4.09,40.1,Retail,2021-10-13 10:03:53
Target,15,322.17,57.59,15.66,Retail,2021-03-22 04:50:58
Burger King,4,140.07,29.09,12.44,Food Services,2022-05-27 17:52:52
Ross,13,107.51,31.47,6.23,Retail,2021-11-24 03:13:05
Best Buy,17,64.57,2.04,8.82,Electronics,2021-04-07 17:43:42
Best Buy,15,237.55,32.42,17.23,Electronics,2021-11-20 06:51:38
Starbucks,13,43.88,6.65,4.91,Food Services,2022-11-02 12:33:41
McDonalds,15,127.99,18.45,15.72,Food Services,2021-01-19 13:49:13
Lowe's,1,278.47,80.08,25.3,Home Improvement,2021-06-23 23:21:18
Home Depot,8,130.34,18.58,8.14,Home Improvement,2021-08-09 05:13:11
Target,16,301.73,84.14,31.96,Retail,2022-02-10 17:52:21
KFC,3,97.87,27.39,7.97,Food Services,2021-04-06 08:20:11
Walmart,5,174.69,17.53,17.63,Retail,2021-05-05 13:14:07
Lowe's,13,340.5,42.03,20.66,Home Improvement,2021-10-31 14:47:16
Walmart,11,444.4,90.94,36.09,Retail,2022-07-17 06:58:40
Target,6,262.01,42.66,29.64,Retail,2022-03-29 14:12:36
Home Depot,5,318.6,59.04,36.31,Home Improvement,2022-03-20 07:17:45
McDonalds,20,223.48,16.29,29.11,Food Services,2022-10-18 04:27:39
Target,18,366.89,0.06,20.63,Retail,2021-07-08 15:02:49
Lowe's,20,115.88,23.8,12.54,Home Improvement,2022-08-12 03:59:48
Best Buy,14,462.68,88.01,29.46,Electronics,2022-06-15 12:30:22
Target,16,344.3,16.86,34.62,Retail,2021-10-04 22:16:29
Burger King,15,198.45,58.94,11.41,Food Services,2021-12-30 22:48:44
Costco,5,113.79,3.87,7.21,Retail,2022-12-29 07:48:01
Home Depot,15,355.34,22.39,28.9,Home Improvement,2021-02-06 04:44:42
Walmart,13,107.62,27.57,8.69,Retail,2022-11-10 18:50:04
Home Depot,18,109.18,0.14,16.31,Home Improvement,2021-04-16 22:20:09
Best Buy,16,157.77,25.74,7.47,Electronics,2022-04-15 19:09:16
Burger King,16,377.38,23.09,39.57,Food Services,2021-10-07 15:06:03
Starbucks,3,373.79,86.05,21.27,Food Services,2022-11-04 07:10:31
Walmart,19,432.48,66.51,23.91,Retail,2021-07-20 16:47:37
Costco,19,226.34,59.62,24.69,Retail,2021-10-25 06:22:08
Home Depot,17,464.06,31.78,47.13,Home Improvement,2022-12-28 16:38:43
Costco,2,81.62,15.35,7.05,Retail,2021-02-19 03:57:58
Best Buy,16,220.18,25.47,26.72,Electronics,2021-04-01 13:32:37
Home Depot,20,333.88,96.37,29.97,Home Improvement,2022-11-19 12:33:49
Walmart,4,354.22,26.34,37.03,Retail,2021-07-25 04:24:39
Home Depot,4,175.19,19.64,20.27,Home Improvement,2021-05-28 05:20:57
Burger King,18,273.25,27.77,25.83,Food Services,2021-05-06 09:08:56
Lowe's,1,320.39,24.78,18.85,Home Improvement,2021-03-19 03:30:32
Subway,18,211.74,50.22,9.17,Food Services,2022-03-20 02:58:09
Costco,17,42.17,12.64,1.86,Retail,2021-01-27 22:05:32
Best Buy,8,176.92,29.61,17.79,Electronics,2021-05-18 15:04:48
Burger King,8,202.52,36.99,20.61,Food Services,2021-09-28 14:56:38
Ross,9,361.78,97.09,39.01,Retail,2022-03-02 01:59:32
McDonalds,7,235.54,22.17,13.41,Food Services,2022-03-12 19:37:24
KFC,1,46.22,11.36,2.82,Food Services,2022-07-03 15:54:39
Target,2,46.86,0.2,6.08,Retail,2021-05-10 07:27:36
Burger King,9,489.63,75.31,35.07,Food Services,2021-12-15 19:38:12
Costco,14,253.85,63.32,11.86,Retail,2022-04-07 00:57:27
Lowe's,11,91.2,6.59,7.93,Home Improvement,2022-06-27 17:19:33
Starbucks,2,16.34,0.04,2.19,Food Services,2021-03-01 03:58:52
KFC,11,161.88,26.61,20.01,Food Services,2021-02-07 14:51:21
Burger King,8,425.46,88.37,21.57,Food Services,2022-04-09 19:40:31
Walmart,13,212.2,37.08,13.19,Retail,2021-08-31 22:03:19
Best Buy,16,445.25,94.61,32.39,Electronics,2021-05-12 16:22:31
Best Buy,2,119.35,28.93,7.99,Electronics,2021-07-05 05:46:19
Costco,10,53.72,2.94,3.19,Retail,2021-12-06 22:44:32
Walmart,12,265.11,9.91,19.05,Retail,2021-08-07 19:05:51
Starbucks,13,218.59,45.73,24.67,Food Services,2021-05-08 13:30:41
Burger King,17,181.86,13.6,12.14,Food Services,2021-08-22 16:02:55
Ross,6,278.08,20.89,13.56,Retail,2021-06-30 16:36:05
Burger King,14,463.0,97.96,23.98,Food Services,2022-08-12 22:58:02
