Item Name,Item Category,Unit Price ($),Discount ($),Tax ($),Time
Nails,Home Improvement,111.19,21.58,7.62,2022-08-06 23:31:01
Burger,Food Services,31.46,4.41,2.97,2022-09-21 20:42:53
Smartphone,Electronics,100.48,10.81,11.04,2020-11-13 15:28:58
Burger,Food Services,349.15,21.31,41.55,2022-05-08 07:34:32
Burger,Food Services,422.87,43.43,28.48,2022-01-11 00:12:48
Laptop,Electronics,333.14,1.32,39.2,2021-11-18 16:48:16
T-shirt,Retail,324.82,37.87,33.22,2022-03-20 21:28:20
Burger,Food Services,280.74,1.05,34.73,2021-02-08 15:51:26
Jeans,Retail,369.77,60.38,19.64,2020-04-06 17:57:04
Laptop,Electronics,176.76,15.27,13.88,2022-05-02 08:59:33
Burger,Food Services,358.09,41.68,28.93,2020-01-22 19:30:45
Nails,Home Improvement,1.76,0.1,0.14,2020-05-24 21:25:37
Coffee,Food Services,112.33,15.1,11.77,2021-09-11 13:13:09
Smartphone,Electronics,16.74,4.38,1.32,2022-11-03 22:33:24
Hammer,Home Improvement,83.67,1.6,9.86,2022-08-29 07:35:59
Laptop,Electronics,264.26,38.63,23.95,2020-01-02 18:36:26
Hammer,Home Improvement,442.05,65.59,30.57,2022-08-08 13:10:36
Laptop,Electronics,25.88,6.39,2.87,2022-02-05 17:54:59
Smartphone,Electronics,94.81,28.43,7.52,2021-06-01 12:10:41
Nails,Home Improvement,418.89,16.4,20.72,2021-01-13 21:39:23
Smartphone,Electronics,158.77,10.17,18.09,2021-05-20 04:29:50
Hammer,Home Improvement,490.14,99.37,43.46,2022-12-29 01:41:43
Coffee,Food Services,60.33,11.75,6.67,2020-04-07 20:13:26
T-shirt,Retail,344.58,18.84,31.78,2020-10-23 19:29:50
Smartphone,Electronics,314.19,2.06,44.13,2022-05-31 14:20:02
Nails,Home Improvement,430.82,17.24,42.22,2020-12-10 09:43:13
Jeans,Retail,58.44,2.71,7.53,2021-01-05 16:14:47
Hammer,Home Improvement,21.29,4.35,1.79,2020-08-09 08:34:33
Jeans,Retail,469.28,128.09,18.49,2022-04-23 12:07:58
Laptop,Electronics,356.47,96.54,29.64,2021-11-26 21:30:58
Jeans,Retail,435.83,23.31,36.12,2020-05-21 16:46:38
T-shirt,Retail,5.44,0.25,0.43,2020-05-04 23:14:14
Jeans,Retail,359.53,36.48,36.2,2021-05-12 04:30:01
Hammer,Home Improvement,135.54,6.08,14.03,2022-02-28 01:23:58
Jeans,Retail,198.0,32.58,13.12,2022-01-30 01:56:00
Laptop,Electronics,365.53,102.39,21.26,2020-06-18 09:58:16
Nails,Home Improvement,152.03,38.11,9.1,2021-04-13 06:45:03
Nails,Home Improvement,50.6,13.79,3.59,2022-05-06 08:43:57
Jeans,Retail,63.04,2.19,6.07,2021-03-28 04:38:48
Hammer,Home Improvement,151.65,33.43,16.48,2020-07-12 21:16:50
Burger,Food Services,313.74,35.35,41.05,2022-04-30 10:04:35
Nails,Home Improvement,33.85,0.86,4.12,2021-05-31 21:50:17
Hammer,Home Improvement,193.02,5.68,19.79,2022-04-19 07:13:58
T-shirt,Retail,224.82,32.96,20.81,2020-11-11 15:54:50
Coffee,Food Services,212.1,23.44,28.08,2022-07-26 00:23:24
T-shirt,Retail,293.03,14.64,19.26,2022-04-30 02:13:01
Nails,Home Improvement,32.87,8.52,2.93,2022-07-01 19:57:07
Laptop,Electronics,376.47,22.78,35.27,2021-03-22 20:38:24
T-shirt,Retail,104.41,1.32,14.93,2021-11-22 06:23:36
Coffee,Food Services,312.08,9.8,28.97,2020-05-22 08:17:31
Jeans,Retail,273.65,12.42,38.89,2022-07-15 07:11:07
Laptop,Electronics,75.05,9.14,7.78,2021-08-20 22:09:17
Laptop,Electronics,339.98,90.55,33.26,2021-05-07 12:21:47
Laptop,Electronics,317.9,83.42,24.45,2022-06-13 05:49:31
Coffee,Food Services,5.84,1.24,0.57,2021-01-11 02:24:32
Jeans,Retail,409.24,4.35,26.25,2021-03-27 00:16:06
T-shirt,Retail,301.69,14.11,25.28,2020-10-12 15:07:22
T-shirt,Retail,359.35,87.0,15.42,2020-10-21 05:01:13
Nails,Home Improvement,258.75,71.07,10.63,2020-10-17 01:46:53
Burger,Food Services,21.28,0.1,2.85,2020-02-21 05:18:02
Jeans,Retail,431.09,103.55,44.83,2022-08-09 21:50:23
Laptop,Electronics,484.33,73.38,57.58,2022-10-17 02:02:11
Hammer,Home Improvement,287.36,58.5,29.87,2021-02-07 23:35:53
Nails,Home Improvement,373.74,101.56,19.22,2022-01-10 06:21:47
Smartphone,Electronics,413.02,59.75,45.61,2020-04-17 07:41:05
Smartphone,Electronics,304.11,21.31,38.6,2020-05-19 12:53:41
Hammer,Home Improvement,328.84,0.02,22.42,2022-11-20 08:39:47
T-shirt,Retail,167.01,24.73,10.84,2020-07-21 07:07:09
T-shirt,Retail,386.47,44.54,30.22,2020-08-20 07:38:25
Burger,Food Services,320.85,12.26,24.29,2020-03-01 00:39:43
Jeans,Retail,28.71,0.31,2.61,2020-05-04 15:52:26
Laptop,Electronics,445.09,80.38,21.21,2022-12-22 08:38:37
Burger,Food Services,405.33,42.9,19.4,2022-04-19 19:01:33
Laptop,Electronics,193.95,2.74,18.56,2022-11-27 18:40:00
Burger,Food Services,11.09,1.99,0.58,2021-08-30 20:34:26
Jeans,Retail,53.54,8.82,3.79,2022-03-25 21:32:02
Smartphone,Electronics,391.93,91.41,18.36,2021-03-04 04:23:05
Hammer,Home Improvement,305.45,42.81,29.74,2022-03-21 13:44:41
Jeans,Retail,325.59,94.7,28.02,2020-12-31 20:08:27
T-shirt,Retail,394.49,15.04,53.57,2020-11-30 07:17:08
T-shirt,Retail,458.53,120.03,39.98,2022-11-21 12:38:24
Nails,Home Improvement,259.98,61.26,13.69,2022-07-05 05:22:54
Smartphone,Electronics,222.85,50.58,16.46,2021-10-13 13:13:54
Nails,Home Improvement,478.29,129.41,18.84,2022-06-19 12:35:47
T-shirt,Retail,450.63,127.72,37.67,2021-03-03 12:36:10
Coffee,Food Services,115.6,26.92,12.28,2021-11-30 22:12:36
Smartphone,Electronics,254.05,72.06,11.75,2022-02-04 07:31:26
Smartphone,Electronics,461.52,129.56,30.4,2022-10-22 15:43:54
Nails,Home Improvement,208.17,9.75,28.86,2022-09-23 01:33:00
Laptop,Electronics,216.11,27.04,18.84,2022-12-23 18:17:58
Jeans,Retail,361.55,8.52,20.13,2021-07-09 03:37:40
Jeans,Retail,346.2,35.88,21.04,2020-05-07 23:05:15
Coffee,Food Services,409.68,8.67,55.88,2021-05-18 19:42:23
Coffee,Food Services,2.61,0.52,0.26,2022-08-09 22:12:36
Nails,Home Improvement,374.24,32.93,40.6,2020-06-28 04:33:00
Coffee,Food Services,429.73,24.11,24.84,2022-01-25 15:57:15
Jeans,Retail,354.03,27.43,17.24,2022-06-30 23:43:52
Coffee,Food Services,181.76,25.81,12.36,2022-09-05 21:35:44
Jeans,Retail,92.84,27.66,3.93,2021-06-04 19:47:21
T-shirt,Retail,79.05,21.29,8.35,2020-10-22 17:50:16
Coffee,Food Services,158.63,11.56,18.46,2021-01-12 13:01:29
T-shirt,Retail,186.86,37.18,20.37,2020-01-26 04:18:58
Hammer,Home Improvement,197.51,41.61,9.85,2021-02-25 01:01:39
T-shirt,Retail,275.84,61.31,13.78,2020-06-30 23:04:58
Smartphone,Electronics,149.72,15.93,10.01,2020-12-08 11:21:52
Jeans,Retail,318.89,50.63,23.51,2021-07-31 23:24:33
Hammer,Home Improvement,209.2,45.7,13.42,2020-09-21 20:01:16
Coffee,Food Services,186.43,53.26,7.87,2021-05-31 13:50:46
Burger,Food Services,398.46,33.11,38.66,2021-10-23 23:19:12
Burger,Food Services,398.03,53.28,30.99,2020-04-06 14:42:10
Smartphone,Electronics,216.43,16.1,19.1,2020-06-05 06:55:12
Burger,Food Services,178.33,33.79,8.48,2020-08-15 08:38:23
Coffee,Food Services,148.07,36.88,10.55,2022-12-19 19:02:48
Laptop,Electronics,4.88,0.44,0.56,2020-12-05 20:28:10
T-shirt,Retail,273.06,12.8,31.4,2020-03-11 06:26:53
Laptop,Electronics,47.18,7.04,5.86,2022-06-10 11:16:35
Smartphone,Electronics,140.76,41.55,6.16,2022-09-12 04:55:43
Hammer,Home Improvement,1.13,0.14,0.14,2022-04-09 20:20:37
Smartphone,Electronics,222.85,49.91,14.77,2022-07-24 10:32:34
Coffee,Food Services,298.11,3.17,38.11,2022-11-23 06:12:07
T-shirt,Retail,267.29,9.48,35.05,2020-04-24 22:48:15
Burger,Food Services,34.98,9.03,2.03,2020-02-11 11:19:43
Burger,Food Services,287.42,54.08,24.07,2020-07-12 07:35:53
Smartphone,Electronics,477.87,77.93,49.65,2022-09-13 10:30:45
T-shirt,Retail,146.83,16.38,14.73,2020-10-19 20:33:29
Burger,Food Services,62.53,2.26,5.43,2022-07-30 21:56:04
Laptop,Electronics,70.63,14.16,4.82,2022-06-13 17:04:56
Laptop,Electronics,371.43,24.29,34.33,2020-07-04 22:34:14
Jeans,Retail,246.87,70.98,16.6,2021-08-30 17:20:38
Burger,Food Services,372.86,5.86,41.15,2020-05-22 04:33:17
Hammer,Home Improvement,178.35,20.92,23.5,2021-07-28 23:49:01
Nails,Home Improvement,343.76,8.39,48.61,2020-06-29 06:30:49
Smartphone,Electronics,4.21,0.05,0.47,2020-02-26 12:47:36
T-shirt,Retail,436.7,91.67,42.34,2022-07-29 14:49:54
Coffee,Food Services,71.2,12.24,4.08,2020-02-03 14:40:03
Smartphone,Electronics,230.99,22.88,13.91,2020-10-29 06:52:35
Smartphone,Electronics,324.35,66.89,16.68,2020-10-14 08:15:13
Burger,Food Services,262.56,10.18,35.6,2020-07-11 11:08:47
Laptop,Electronics,175.23,51.7,11.45,2022-01-14 11:07:32
Laptop,Electronics,195.38,12.9,12.7,2020-11-23 02:51:40
Coffee,Food Services,293.68,4.39,25.7,2020-04-04 21:24:35
Coffee,Food Services,316.95,82.82,20.22,2022-11-21 07:53:57
Burger,Food Services,117.3,10.47,6.27,2020-02-05 09:23:45
T-shirt,Retail,385.94,102.23,25.86,2022-04-25 10:34:00
Hammer,Home Improvement,316.31,48.98,38.94,2021-10-23 04:13:12
Smartphone,Electronics,290.9,42.78,29.88,2022-08-22 01:38:38
Coffee,Food Services,169.26,2.14,9.23,2020-06-06 16:12:08
Jeans,Retail,2.93,0.58,0.15,2021-02-07 18:30:57
Smartphone,Electronics,340.57,99.17,21.64,2020-04-18 17:56:58
Coffee,Food Services,227.4,23.16,12.3,2020-12-09 01:06:43
Nails,Home Improvement,397.6,38.52,34.32,2020-04-21 19:17:56
Jeans,Retail,128.49,20.12,7.48,2022-10-01 23:08:20
Nails,Home Improvement,105.59,16.62,6.12,2021-04-12 16:23:15
Coffee,Food Services,126.39,27.64,7.91,2021-06-28 03:54:20
Smartphone,Electronics,128.06,13.21,13.93,2021-11-08 09:49:03
Hammer,Home Improvement,153.6,25.43,6.53,2020-10-07 02:44:19
Laptop,Electronics,362.58,5.16,46.79,2020-04-04 19:49:37
Laptop,Electronics,230.8,8.18,12.94,2022-02-21 08:55:47
Nails,Home Improvement,413.31,19.07,54.57,2021-12-26 15:54:52
Coffee,Food Services,220.88,5.11,20.0,2020-03-02 04:08:40
Smartphone,Electronics,20.64,1.12,1.93,2022-07-15 14:34:11
Burger,Food Services,420.39,35.19,32.82,2020-06-05 18:36:59
Smartphone,Electronics,54.54,14.72,4.42,2022-12-22 08:39:20
Coffee,Food Services,355.82,82.99,27.67,2021-08-30 19:50:02
Laptop,Electronics,268.55,21.03,18.11,2020-11-05 16:31:21
Nails,Home Improvement,307.82,65.74,16.28,2021-02-08 02:28:14
Smartphone,Electronics,125.14,10.68,14.15,2021-07-10 23:54:37
Hammer,Home Improvement,371.22,57.39,42.65,2021-12-31 10:55:44
Nails,Home Improvement,192.96,15.77,26.07,2022-06-04 02:30:39
Jeans,Retail,115.55,24.84,9.49,2020-09-20 04:36:25
T-shirt,Retail,111.56,27.84,6.2,2022-12-19 20:01:55
T-shirt,Retail,337.65,23.66,35.43,2022-11-10 21:51:28
T-shirt,Retail,291.45,12.0,14.41,2020-11-11 23:50:56
Jeans,Retail,184.13,35.07,19.56,2020-03-31 04:17:45
Smartphone,Electronics,78.47,4.16,11.08,2022-11-16 10:37:47
Burger,Food Services,382.76,89.73,37.36,2020-09-02 18:26:42
Coffee,Food Services,118.42,4.69,8.34,2020-09-08 14:05:07
Smartphone,Electronics,177.38,31.45,16.48,2021-06-15 18:20:11
Nails,Home Improvement,308.39,2.41,33.54,2022-04-02 12:13:47
Laptop,Electronics,228.35,0.87,16.38,2021-01-24 10:18:05
Burger,Food Services,330.76,49.09,40.94,2020-07-01 02:00:41
Laptop,Electronics,273.47,57.78,12.48,2022-07-16 01:59:44
Burger,Food Services,302.55,63.85,31.55,2021-11-18 02:39:44
T-shirt,Retail,192.66,3.42,10.19,2022-10-30 23:35:01
Coffee,Food Services,172.24,22.8,18.32,2020-09-28 13:44:34
Coffee,Food Services,130.79,26.35,8.41,2020-01-21 12:16:18
Jeans,Retail,287.22,5.01,31.9,2022-01-02 15:28:11
Jeans,Retail,11.97,2.25,0.51,2022-11-24 07:59:04
Hammer,Home Improvement,7.21,2.05,0.43,2021-09-28 18:22:50
Hammer,Home Improvement,173.12,34.48,8.82,2022-06-03 02:03:38
Coffee,Food Services,225.03,9.59,17.49,2022-03-01 01:59:13
Jeans,Retail,364.3,85.82,25.3,2021-04-28 19:32:54
Hammer,Home Improvement,205.23,16.24,19.49,2022-10-05 01:59:38
Laptop,Electronics,379.78,64.34,19.64,2021-07-08 19:34:47
Smartphone,Electronics,86.49,12.99,8.25,2021-08-26 17:37:58
Burger,Food Services,40.74,2.9,5.03,2022-10-18 13:42:32
Burger,Food Services,124.15,0.82,16.11,2021-01-24 19:26:52
Burger,Food Services,371.66,93.47,29.53,2020-08-26 07:38:33
Nails,Home Improvement,214.16,55.55,9.57,2022-05-20 20:41:27
Laptop,Electronics,355.34,65.55,15.65,2022-12-09 03:44:21
Jeans,Retail,403.14,88.62,16.58,2020-01-20 07:39:34
Hammer,Home Improvement,248.68,26.74,26.0,2021-12-12 09:46:12
Laptop,Electronics,118.84,12.69,13.11,2020-05-02 20:05:04
Smartphone,Electronics,169.49,40.85,18.58,2021-06-05 19:52:36
Hammer,Home Improvement,156.07,42.16,11.97,2020-03-11 23:41:19
Hammer,Home Improvement,386.68,66.18,24.44,2022-04-25 13:42:06
Hammer,Home Improvement,228.5,49.45,16.18,2021-03-12 08:05:00
Laptop,Electronics,26.53,2.17,3.64,2020-07-28 11:06:37
T-shirt,Retail,340.68,59.48,35.88,2021-01-08 00:42:37
T-shirt,Retail,497.48,113.74,48.45,2022-01-18 11:48:56
Jeans,Retail,193.65,48.47,10.9,2021-07-01 03:55:14
Nails,Home Improvement,283.45,28.01,37.51,2022-08-05 19:30:21
Coffee,Food Services,293.49,63.4,27.18,2021-03-23 04:51:59
Jeans,Retail,82.11,21.38,3.97,2022-11-12 02:18:02
Hammer,Home Improvement,292.88,4.5,18.92,2021-07-11 23:59:28
Jeans,Retail,182.23,34.21,12.18,2022-07-05 23:08:49
Smartphone,Electronics,300.75,89.09,10.6,2022-09-11 11:49:56
Burger,Food Services,284.73,37.75,20.78,2022-08-22 19:25:23
Hammer,Home Improvement,474.36,68.37,58.73,2020-07-24 14:09:08
T-shirt,Retail,373.89,21.05,37.01,2021-04-27 00:43:56
Smartphone,Electronics,140.07,34.88,10.83,2021-08-25 18:19:51
Nails,Home Improvement,329.77,15.57,19.17,2021-10-05 18:37:20
Smartphone,Electronics,377.62,30.11,27.28,2022-10-08 00:48:28
Smartphone,Electronics,389.49,95.79,22.92,2020-05-05 09:34:32
T-shirt,Retail,269.4,44.82,33.46,2020-01-03 08:49:37
Coffee,Food Services,353.08,45.73,19.72,2022-07-12 15:26:04
Hammer,Home Improvement,375.28,17.49,41.54,2020-10-25 17:49:09
Smartphone,Electronics,181.11,51.59,13.75,2022-12-21 05:03:01
Smartphone,Electronics,318.7,76.34,30.54,2021-06-03 11:23:55
Hammer,Home Improvement,181.75,53.52,8.44,2020-09-05 16:12:24
Coffee,Food Services,315.82,59.48,25.56,2021-01-06 22:04:26
Coffee,Food Services,286.21,20.79,18.19,2020-12-12 13:41:22
Smartphone,Electronics,39.88,5.36,4.29,2022-09-17 03:58:19
Laptop,Electronics,432.02,115.99,41.41,2021-11-27 03:41:45
Nails,Home Improvement,479.04,23.64,64.83,2021-08-11 05:01:23
Smartphone,Electronics,317.74,89.64,17.17,2022-11-12 16:09:36
Jeans,Retail,305.23,8.3,15.74,2022-06-01 14:13:12
Hammer,Home Improvement,381.5,23.21,32.17,2021-10-05 18:11:25
Smartphone,Electronics,387.95,72.82,28.02,2020-02-19 00:06:02
Hammer,Home Improvement,291.76,31.04,27.87,2021-09-16 21:36:12
T-shirt,Retail,164.73,1.2,15.92,2022-12-26 06:06:17
Burger,Food Services,21.75,3.69,1.53,2022-05-31 12:54:08
Hammer,Home Improvement,35.62,7.66,3.28,2021-10-11 16:36:57
Laptop,Electronics,22.52,6.27,2.19,2022-10-25 16:27:07
Hammer,Home Improvement,158.09,42.93,17.09,2020-03-13 16:04:23
T-shirt,Retail,203.8,8.69,12.63,2020-09-14 08:48:38
T-shirt,Retail,256.23,12.52,33.94,2021-11-22 19:55:59
Laptop,Electronics,352.95,75.84,33.91,2020-04-09 05:51:15
Hammer,Home Improvement,411.92,85.41,39.09,2021-02-06 16:40:48
Smartphone,Electronics,474.89,49.11,46.23,2022-12-25 18:25:06
Nails,Home Improvement,41.28,2.16,2.99,2020-09-01 22:58:53
T-shirt,Retail,164.64,35.0,16.62,2021-11-24 09:40:57
Laptop,Electronics,499.27,23.25,66.65,2022-03-30 13:21:06
Burger,Food Services,20.26,3.56,1.91,2022-01-26 22:34:41
Hammer,Home Improvement,448.09,42.49,58.68,2022-05-22 02:41:33
Coffee,Food Services,324.55,44.45,20.69,2022-07-27 05:54:32
Laptop,Electronics,261.61,55.69,29.09,2020-01-01 02:34:42
Burger,Food Services,238.77,39.82,20.76,2020-03-01 10:40:36
Jeans,Retail,2.23,0.52,0.1,2022-02-07 07:22:42
Jeans,Retail,285.57,28.77,22.55,2021-05-21 08:04:10
Jeans,Retail,493.64,127.58,22.65,2021-04-29 18:22:28
Jeans,Retail,462.83,25.35,27.35,2021-12-26 07:00:15
Jeans,Retail,443.08,25.7,38.14,2020-03-18 10:48:12
Hammer,Home Improvement,349.72,83.59,37.57,2021-10-06 21:26:40
Burger,Food Services,179.58,45.0,7.77,2020-10-19 01:11:46
Hammer,Home Improvement,220.91,40.04,20.26,2022-05-02 03:52:33
T-shirt,Retail,336.49,56.81,36.46,2022-09-10 11:15:34
Smartphone,Electronics,91.15,12.41,6.02,2020-05-09 15:52:37
Smartphone,Electronics,32.98,0.95,1.69,2020-07-21 18:12:12
Hammer,Home Improvement,89.37,16.52,8.4,2020-01-23 21:08:51
Hammer,Home Improvement,162.08,38.45,15.4,2021-09-16 04:49:00
Laptop,Electronics,238.79,61.46,18.36,2022-11-20 00:52:22
Smartphone,Electronics,395.57,101.87,22.39,2021-10-10 12:58:18
Nails,Home Improvement,418.46,10.05,35.06,2021-05-06 03:56:17
Nails,Home Improvement,236.22,2.34,32.95,2020-01-06 06:29:35
T-shirt,Retail,479.96,0.1,40.2,2020-11-27 16:46:35
Burger,Food Services,81.12,18.97,4.1,2020-01-23 04:49:07
Coffee,Food Services,471.63,132.17,28.12,2020-01-04 15:53:46
Hammer,Home Improvement,241.98,64.46,20.92,2022-11-15 18:13:46
Hammer,Home Improvement,113.99,21.74,7.64,2022-03-31 18:09:56
Coffee,Food Services,176.69,8.67,15.47,2022-08-08 19:19:26
Jeans,Retail,438.38,18.15,44.75,2020-05-31 21:39:52
Hammer,Home Improvement,81.91,14.34,8.02,2020-10-22 20:51:39
Burger,Food Services,499.94,2.93,65.81,2020-07-03 17:03:30
Hammer,Home Improvement,20.05,4.67,0.94,2022-08-03 01:17:28
Burger,Food Services,389.38,78.68,27.34,2022-10-05 14:22:10
Hammer,Home Improvement,209.95,35.78,20.66,2020-11-04 09:13:36
Coffee,Food Services,461.35,50.38,29.45,2021-04-14 18:53:14
Smartphone,Electronics,37.45,4.58,3.81,2021-03-10 22:30:47
Nails,Home Improvement,216.34,28.3,18.26,2022-12-05 14:37:54
Coffee,Food Services,458.25,33.0,41.72,2020-10-10 01:41:48
Nails,Home Improvement,417.96,125.13,40.56,2020-06-04 15:00:24
Jeans,Retail,271.63,49.22,28.46,2022-01-08 19:51:26
Coffee,Food Services,138.86,25.45,15.51,2021-09-08 05:54:19
Smartphone,Electronics,482.1,15.43,64.29,2022-09-02 00:04:54
Hammer,Home Improvement,72.96,8.59,8.16,2020-05-06 08:46:37
Smartphone,Electronics,217.05,6.83,20.2,2020-02-03 22:27:33
Laptop,Electronics,81.53,8.33,6.67,2021-03-02 18:04:27
T-shirt,Retail,381.15,12.87,31.98,2021-12-04 16:15:02
Burger,Food Services,314.67,72.32,27.39,2020-06-28 20:34:07
Hammer,Home Improvement,98.65,28.33,4.76,2021-02-02 10:35:40
Jeans,Retail,148.73,28.31,9.53,2020-07-26 06:16:43
Smartphone,Electronics,18.42,2.27,1.41,2022-10-12 06:44:36
Coffee,Food Services,174.09,6.9,18.61,2022-03-20 03:16:27
Burger,Food Services,16.58,2.87,1.32,2022-10-07 22:57:27
Nails,Home Improvement,389.12,63.61,34.31,2022-09-28 21:07:51
Burger,Food Services,77.33,3.82,3.89,2021-06-23 03:04:27
Burger,Food Services,409.67,43.87,50.55,2020-06-27 19:35:14
T-shirt,Retail,358.51,36.05,19.94,2020-08-27 21:56:44
Smartphone,Electronics,386.94,30.39,23.47,2021-03-08 11:52:12
Jeans,Retail,267.03,11.58,22.38,2020-01-29 20:30:04
T-shirt,Retail,118.03,32.39,7.52,2020-03-06 16:58:08
Smartphone,Electronics,474.41,72.8,58.82,2020-03-04 04:02:12
Smartphone,Electronics,406.66,83.38,21.14,2020-11-15 14:23:03
Hammer,Home Improvement,292.16,55.57,35.04,2022-11-23 21:23:59
Nails,Home Improvement,348.73,67.73,19.81,2021-02-07 09:10:34
Nails,Home Improvement,134.07,29.44,7.0,2022-05-17 09:00:38
Nails,Home Improvement,396.88,1.25,55.09,2021-05-03 21:21:34
Laptop,Electronics,159.86,32.42,11.08,2021-07-23 22:47:31
T-shirt,Retail,333.6,81.27,18.39,2022-05-31 12:43:57
Burger,Food Services,281.26,69.8,12.22,2020-03-06 06:02:32
Burger,Food Services,13.86,2.67,0.75,2022-12-25 11:17:03
Smartphone,Electronics,304.52,19.01,34.49,2022-08-01 20:50:21
Smartphone,Electronics,132.8,23.4,15.53,2022-10-15 01:39:40
Burger,Food Services,442.7,75.03,52.07,2022-02-07 03:45:43
Nails,Home Improvement,322.38,39.19,20.76,2022-09-27 15:24:30
Laptop,Electronics,20.51,3.81,1.28,2021-12-13 12:14:48
Laptop,Electronics,275.85,32.61,18.62,2022-09-21 10:11:37
Coffee,Food Services,270.96,12.97,34.88,2021-11-07 10:24:10
Burger,Food Services,229.0,66.12,15.93,2021-08-01 13:54:53
Smartphone,Electronics,278.51,22.19,18.7,2022-04-15 15:26:19
Nails,Home Improvement,149.05,16.07,7.9,2020-10-03 23:04:13
Hammer,Home Improvement,411.68,16.9,41.8,2020-11-18 20:59:23
Hammer,Home Improvement,17.5,2.12,1.85,2021-08-06 10:35:49
Laptop,Electronics,357.34,11.48,33.65,2022-07-01 01:37:31
Jeans,Retail,437.48,45.02,23.45,2021-03-28 02:35:22
Hammer,Home Improvement,121.6,18.16,15.35,2020-01-14 19:42:26
T-shirt,Retail,113.08,16.81,13.93,2020-08-03 02:02:57
Jeans,Retail,46.74,4.27,3.92,2020-08-22 14:33:07
Jeans,Retail,481.82,124.42,23.07,2021-02-25 13:32:05
T-shirt,Retail,468.01,104.23,35.69,2021-06-01 22:21:56
Jeans,Retail,142.17,26.12,15.45,2021-06-08 07:19:28
Nails,Home Improvement,201.2,30.2,16.6,2021-07-24 10:15:47
Jeans,Retail,316.45,34.06,21.95,2020-05-25 13:40:09
Smartphone,Electronics,383.89,82.27,23.62,2021-06-09 11:05:47
Nails,Home Improvement,240.38,21.01,20.75,2022-08-21 23:20:15
Jeans,Retail,466.51,104.03,51.82,2020-02-25 09:42:18
Jeans,Retail,250.15,8.25,21.38,2020-03-05 00:09:26
Smartphone,Electronics,232.94,32.27,28.81,2021-02-22 20:14:31
Coffee,Food Services,338.14,50.95,28.34,2020-09-11 13:09:50
Jeans,Retail,259.44,0.13,25.2,2020-08-20 02:38:00
Smartphone,Electronics,445.6,30.4,60.93,2022-06-25 08:38:11
Hammer,Home Improvement,288.12,3.5,16.89,2021-03-25 18:29:33
Coffee,Food Services,362.99,19.45,23.39,2021-07-14 15:34:25
Jeans,Retail,15.1,4.32,0.55,2021-09-05 06:54:42
Hammer,Home Improvement,65.7,16.19,5.48,2022-05-02 00:58:36
Coffee,Food Services,41.7,5.83,4.83,2020-07-20 09:21:52
Smartphone,Electronics,34.32,1.82,2.39,2021-03-31 19:00:21
Smartphone,Electronics,191.58,46.4,13.59,2020-06-27 11:38:55
Smartphone,Electronics,488.06,6.03,70.11,2022-01-12 15:32:33
Hammer,Home Improvement,291.82,61.62,30.55,2021-01-07 08:53:25
